Species,Colony,depth,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,Fv/Fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv/Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
Porites astreoides ,35,10--10,CC,20230709.048,09/07/2023,37239,361.6,0.9,26.3,15.67,247.4,391,143.6,0.367,462.2,0.31,0.56,452,0.23,2096,0.21,-80101,-------,-------,934,17483,200,434.7,480.5,45.8,0.095,520.6,0.26,0.202,865,0.673,18503,0.124,18545,--------,-------,14426,14937,69.3
Porites astreoides ,35,10--10,CC,20230709.049,09/07/2023,37249,344.8,0.9,26.2,15.67,192.2,314.7,122.5,0.389,396.6,0.24,0.54,448,0.25,2754,0.21,-91364,-------,-------,1176,20143,400,336.9,375.8,38.9,0.104,466.8,0.15,0.28,798,0.632,20217,0.088,20255,--------,-------,14257,14785,70.1
Porites astreoides ,35,10--10,CC,20230709.050,09/07/2023,37259,436.2,0.9,26.3,15.67,239.4,364.3,124.9,0.343,457.6,0.27,0.56,555,0.19,3230,0.26,-76005,-------,-------,1224,20461,300,361,399,38.1,0.095,516.3,0.29,0.268,1037,0.629,19372,0.103,19373,--------,-------,13898,14462,72
Porites astreoides ,36,10--10,CC,20230709.051,09/07/2023,37304,305.3,0.9,26.4,15.65,190.4,288,97.6,0.339,402,0.15,0.54,487,0.26,2305,0.2,-134118,-------,-------,1076,28228,400,385,410.4,25.5,0.062,648.2,0.18,0.202,970,0.712,16612,0.086,16627,--------,-------,13152,13449,76
Porites astreoides ,36,10--10,CC,20230709.052,09/07/2023,37314,213.7,0.9,26.4,15.66,200.3,327.3,127,0.388,397.6,0.17,0.54,504,0.26,2730,0.2,-91887,-------,-------,1233,19609,300,390.8,426,35.2,0.083,495.7,0,0.231,1086,0.696,17649,0.073,17665,--------,-------,13525,13827,73.9
Porites astreoides ,36,10--10,CC,20230709.053,09/07/2023,37325,151,0.9,26.4,15.66,280.4,409.4,129,0.315,474.8,0.23,0.55,530,0.24,1810,0.2,-102864,-------,-------,924,21740,200,438,475.3,37.3,0.079,504,0.22,0.297,918,0.641,17699,0.062,17715,--------,-------,12386,12716,80.7
Porites astreoides ,36,10--10,CC,20230709.054,09/07/2023,37337,138.7,0.9,26.5,15.66,192.1,302.7,110.6,0.365,404.1,0.14,0.53,483,0.28,2806,0.19,-121339,-------,-------,1292,24300,400,321.2,354.7,33.5,0.095,441.9,0.1,0.28,1282,0.671,17911,0.049,17948,--------,-------,13011,13254,76.9
Porites astreoides ,36,10--10,CC,20230709.055,09/07/2023,37346,183.4,0.9,26.5,15.64,198.2,269.8,71.6,0.265,469.5,0.21,0.6,652,0.17,3985,0.24,-141441,-------,-------,1382,34658,300,258.7,283.8,25.1,0.089,515.1,0.13,0.401,1093,0.067,16109,0.532,16160,--------,-------,9681,10109,103.3
Porites astreoides ,38,10--10,CC,20230709.056,09/07/2023,37357,320.7,0.9,26.6,15.64,250.3,408.7,158.4,0.388,521.7,0.33,0.56,579,0.2,3122,0.24,-65102,-------,-------,1253,16525,200,461.3,517.2,55.9,0.108,520.4,0.21,0.239,741,0.653,20969,0.108,20999,--------,-------,15549,16135,64.3
Porites astreoides ,38,10--10,CC,20230709.057,09/07/2023,37368,294.8,0.9,26.7,15.64,327.4,521.8,194.4,0.373,526.3,0.34,0.5,537,0.27,3359,0.23,-55962,-------,-------,1530,14170,0,558.5,617.3,58.8,0.095,514.8,0.36,0.222,803,0.678,22383,0.101,22706,--------,-------,17068,17635,58.6
Porites astreoides ,38,10--10,CC,20230709.058,09/07/2023,37379,336,0.9,26.7,15.64,272.4,445,172.5,0.388,499.7,0.35,0.59,488,0.19,2810,0.21,-68146,-------,-------,1059,15288,200,495.1,552.9,57.8,0.104,530.6,0.26,0.232,786,0.636,19606,0.132,19646,--------,-------,14571,15240,68.6
Porites astreoides ,38,10--10,CC,20230709.059,09/07/2023,37388,235.2,0.9,26.7,15.65,285.5,439.1,153.6,0.35,541.1,0.29,0.27,375,0.45,3366,0.28,-39453,-------,-------,2238,12756,0,486.6,516.6,30,0.058,742.9,0.33,0.063,1431,0.846,17738,0.09,17777,--------,-------,16606,16712,60.2
Porites astreoides ,38,10--10,CC,20230709.060,09/07/2023,37397,360.2,0.9,26.7,15.64,209.5,349.3,139.8,0.4,454.4,0.26,0.59,558,0.19,4026,0.23,-83241,-------,-------,1394,20079,300,386.7,435.4,48.7,0.112,477.6,0.14,0.249,710,0.097,21148,0.654,21151,--------,-------,15509,16057,64.5
Porites astreoides ,98,40--10,CC,20230709.061,09/07/2023,37427,379.2,0.9,26.8,15.64,241.8,391.7,149.9,0.383,508.5,0.35,0.61,491,0.2,1737,0.2,-88575,-------,-------,797,17944,200,444.4,507.5,63.1,0.124,458.9,0.26,0.303,742,0.628,18929,0.069,19139,--------,-------,13006,13427,76.9
Porites astreoides ,98,40--10,CC,20230709.062,09/07/2023,37437,486.6,0.9,26.9,15.64,163.1,273.6,110.5,0.404,429.4,0.28,0.63,400,0.19,1992,0.19,-123477,-------,-------,764,23856,400,291.6,338.4,46.8,0.138,393.6,0.13,0.313,699,0.587,17913,0.1,17942,--------,-------,11932,12532,83.8
Porites astreoides ,98,40--10,CC,20230709.063,09/07/2023,37447,490.5,0.9,26.9,15.63,182.3,301.4,119.1,0.395,442.1,0.29,0.6,414,0.2,1618,0.2,-101801,-------,-------,711,20943,400,311.9,362.2,50.4,0.139,412,0.02,0.333,766,0.588,18066,0.079,18076,--------,-------,11808,12301,84.7
Porites astreoides ,98,40--10,CC,20230709.064,09/07/2023,37459,553.8,0.9,26.9,15.62,169.6,271.8,102.2,0.376,439.5,0.32,0.64,447,0.16,2189,0.2,-114554,-------,-------,803,23244,400,291.3,332.1,40.8,0.123,431.6,0.15,0.309,762,0.626,17512,0.066,17963,--------,-------,11976,12369,83.5
Porites astreoides ,98,40--10,CC,20230709.065,09/07/2023,37469,627.8,0.9,27,15.63,111.2,183.7,72.5,0.395,364.3,0.24,0.62,413,0.17,1820,0.2,-119955,-------,-------,717,25139,600,195.6,226,30.4,0.134,375.6,0,0.359,705,0.547,17655,0.093,17746,--------,-------,10942,11577,91.4
Porites astreoides ,95,40--10,CC,20230709.066,09/07/2023,37502,695.7,0.9,27,15.63,19.4,24.4,5,0.206,169.1,0.12,0.26,368,0.28,2749,0.46,-218916,-------,-------,1593,102439,1600,26.5,29,2.5,0.086,394.1,0.01,0.061,319,0.063,13011,0.876,13042,--------,-------,12213,12263,81.9
Porites astreoides ,95,40--10,CC,20230709.067,09/07/2023,37513,573.2,0.9,27,15.62,20.2,29.9,9.7,0.325,193.3,0.12,0.43,557,0.25,6098,0.32,-245180,-------,-------,2583,80023,1600,30.5,34,3.5,0.104,379.6,0.01,0.112,795,0.781,14840,0.107,14905,--------,-------,13081,13277,76.4
Porites astreoides ,95,40--10,CC,20230709.068,09/07/2023,37523,452.9,0.9,27.1,15.61,23.8,33.5,9.7,0.288,278.1,0,0.52,563,0.24,5350,0.24,-187940,-------,-------,2074,47374,1600,36.2,40.2,4,0.1,358.2,0.01,0.164,967,0.788,14796,0.048,14850,--------,-------,12409,12525,80.6
Porites astreoides ,95,40--10,CC,20230709.069,09/07/2023,37533,408.5,0.9,27.1,15.61,29.6,44.2,14.6,0.33,224.4,0.03,0.5,613,0.24,7317,0.27,-260594,-------,-------,2772,72090,1200,46.2,52,5.9,0.113,345.9,0,0.158,1162,0.794,17076,0.047,17191,--------,-------,14432,14563,69.3
Porites astreoides ,95,40--10,CC,20230709.070,09/07/2023,37543,322.4,0.9,27.1,15.62,20.6,27,6.4,0.237,513.1,0,0.17,252,0.47,1648,0.37,-135075,-------,-------,1282,50743,1600,29.4,32.4,2.9,0.091,440.8,0.01,0.117,742,0.112,15973,0.771,15985,--------,-------,13974,14197,71.6
Porites astreoides ,89,40--10,CC,20230709.071,09/07/2023,37551,225.7,0.9,27,15.62,100.4,124.9,24.5,0.196,671.8,0.28,0.22,595,0.43,7237,0.35,-72438,-------,-------,4989,28717,700,135,142.1,7.1,0.05,270.8,0,0.812,27,0.182,14010,0.005,42435,--------,-------,2592,2802,385.8
Porites astreoides ,89,40--10,CC,20230709.072,09/07/2023,37560,158,0.9,27.2,15.61,130.3,160.3,29.9,0.187,692.1,0.31,0.24,1075,0.37,7486,0.39,-76034,-------,-------,4977,32607,500,165.9,173.9,8,0.046,635.6,0.59,0.749,45,0.245,14501,0.007,29958,--------,-------,3606,3783,277.3
Porites astreoides ,89,40--10,CC,20230709.073,09/07/2023,37570,110.6,0.9,27.2,15.61,184.8,226.4,41.6,0.184,643.5,0.37,0.08,1883,0.5,6664,0.42,-58063,-------,-------,5978,27833,300,219.4,235.7,16.3,0.069,573.1,0.44,0.761,45,0.232,13930,0.007,28479,--------,-------,3294,3464,303.6
Porites astreoides ,89,40--10,CC,20230709.074,09/07/2023,37579,77.4,0.9,27.2,15.6,77.2,96.2,19,0.198,724.7,0.29,0.27,993,0.39,7920,0.34,-114759,-------,-------,5076,42802,800,92.4,101.6,9.2,0.09,514,0.32,0.753,55,0.236,11678,0.011,28108,--------,-------,2831,3118,353.3
Porites astreoides ,89,40--10,CC,20230709.075,09/07/2023,37588,79.4,0.9,27.1,15.61,134.4,164.2,29.8,0.181,664.3,0.36,0.19,920,0.46,7659,0.36,-99509,-------,-------,5682,39047,500,162.7,176.5,13.8,0.078,521.6,0.4,0.752,55,0.23,12218,0.018,29130,--------,-------,2906,3388,344.2
Porites astreoides ,37,10--10,CC,20230709.076,09/07/2023,37622,230,0.9,27.5,15.59,125.6,181.2,55.5,0.307,343.7,0.2,0.61,430,0.16,2120,0.23,-166267,-------,-------,779,38090,600,188.4,213,24.7,0.116,343.1,0,0.46,829,0.501,17484,0.039,17665,--------,-------,9508,9828,105.2
Porites astreoides ,37,10--10,CC,20230709.077,09/07/2023,37634,222.5,0.9,27.7,15.6,245.3,353.3,108,0.306,417.8,0.22,0.64,549,0.14,2890,0.22,-149254,-------,-------,962,34139,200,394.3,430.2,35.8,0.083,479.3,0.12,0.282,979,0.675,16858,0.043,16876,--------,-------,12179,12383,82.1
Porites astreoides ,37,10--10,CC,20230709.078,09/07/2023,37644,227.5,0.9,27.8,15.59,308,452.3,144.3,0.319,397.3,0.2,0.51,518,0.26,2324,0.23,-93681,-------,-------,1126,22496,0,470.8,514.4,43.5,0.085,476.5,0.21,0.27,1039,0.062,18150,0.668,18163,--------,-------,13234,13540,75.6
Porites astreoides ,37,10--10,CC,20230709.079,09/07/2023,37655,265.8,0.9,27.8,15.57,202.3,305.9,103.6,0.339,376.6,0.26,0.64,497,0.13,2538,0.23,-138379,-------,-------,839,32142,300,339.3,376.1,36.8,0.098,422.5,0,0.318,828,0.628,17098,0.054,17237,--------,-------,11633,11937,86
Porites astreoides ,37,10--10,CC,20230709.080,09/07/2023,37665,216.1,0.9,28,15.58,287.7,419.6,131.9,0.314,444,0.27,0.67,566,0.1,3307,0.23,-132555,-------,-------,939,31148,200,473.4,518.5,45,0.087,492.5,0.13,0.293,869,0.638,15539,0.068,15556,--------,-------,10919,11236,91.6
Porites astreoides ,78,10--10,CC,20230709.081,09/07/2023,37677,342,0.9,28.1,15.57,211.9,367.6,155.7,0.424,455.3,0.31,0.63,436,0.16,2159,0.2,-96788,-------,-------,784,20412,300,432.8,495.9,63.1,0.127,446.1,0.16,0.284,571,0.64,20760,0.076,20963,--------,-------,14555,15045,68.7
Porites astreoides ,78,10--10,CC,20230709.082,09/07/2023,37686,348.4,0.9,28.1,15.58,217.7,367.2,149.5,0.407,457.1,0.3,0.56,376,0.23,2001,0.21,-89764,-------,-------,850,19425,300,417.8,475.7,57.9,0.122,478.6,0.11,0.272,669,0.638,19992,0.09,20103,--------,-------,14222,14751,70.3
Porites astreoides ,78,10--10,CC,20230709.083,09/07/2023,37698,326.5,0.9,28.1,15.57,238.3,397.7,159.4,0.401,459.8,0.28,0.56,431,0.23,2498,0.21,-88913,-------,-------,1035,19725,300,433.2,492,58.8,0.119,464.2,0.18,0.281,665,0.631,19975,0.088,20074,--------,-------,14027,14560,71.3
Porites astreoides ,78,10--10,CC,20230709.084,09/07/2023,37708,265.7,0.9,28.1,15.57,285.4,483.7,198.3,0.41,520.9,0.37,0.58,470,0.21,1698,0.21,-79320,-------,-------,796,17224,200,583.9,664.5,80.6,0.121,483.7,0.2,0.262,656,0.104,21514,0.634,21517,--------,-------,15413,16050,64.9
Porites astreoides ,78,10--10,CC,20230709.085,09/07/2023,37718,388.4,0.9,28.1,15.57,153.6,259.9,106.2,0.409,406.7,0.25,0.61,420,0.19,2801,0.2,-90412,-------,-------,992,19169,500,283,326.1,43.1,0.132,417,0.03,0.342,581,0.587,19420,0.072,19475,--------,-------,12490,12990,80.1
Porites astreoides ,97,40--10,CC,20230709.086,09/07/2023,37751,271.9,0.9,28.1,15.56,343.6,542.5,199,0.367,468.3,0.28,0.45,472,0.3,3294,0.24,-65084,-------,-------,1602,17117,0,592.8,649.4,56.6,0.087,524.1,0.34,0.206,730,0.685,19450,0.109,19539,--------,-------,15124,15604,66.1
Porites astreoides ,97,40--10,CC,20230709.087,09/07/2023,37762,252.1,0.9,28,15.56,361.6,572.3,210.6,0.368,474.8,0.27,0.44,418,0.31,2790,0.25,-53636,-------,-------,1403,14506,0,587,655.2,68.2,0.104,497.6,0.29,0.243,811,0.63,19386,0.128,19399,--------,-------,14221,14882,70.3
Porites astreoides ,97,40--10,CC,20230709.088,09/07/2023,37771,226.3,0.9,28.1,15.56,349.8,558.9,209.1,0.374,497.4,0.31,0.53,452,0.25,2735,0.23,-65647,-------,-------,1177,15845,0,599,673.8,74.9,0.111,487.2,0.31,0.247,837,0.66,21606,0.093,21752,--------,-------,15952,16491,62.7
Porites astreoides ,97,40--10,CC,20230709.089,09/07/2023,37781,283.7,0.9,28,15.57,368,608.3,240.3,0.395,513.2,0.36,0.58,458,0.21,2035,0.21,-78582,-------,-------,868,17290,0,666.3,760,93.7,0.123,479.4,0.27,0.264,710,0.642,20446,0.094,20603,--------,-------,14693,15249,68.1
Porites astreoides ,97,40--10,CC,20230709.090,09/07/2023,37790,277.6,0.9,28,15.56,339.7,558.7,219.1,0.392,493.5,0.31,0.54,390,0.25,1955,0.21,-69835,-------,-------,891,15527,0,603.5,686.8,83.3,0.121,470.2,0.23,0.273,723,0.647,20339,0.08,20397,--------,-------,14514,14988,68.9
Porites astreoides ,35,10--10,CC,20230709.091,09/07/2023,37804,278.4,0.9,28,15.56,239.1,376.4,137.3,0.365,460.8,0.27,0.53,471,0.23,2559,0.24,-80862,-------,-------,1092,20258,200,419.8,466.2,46.4,0.1,475,0.27,0.281,809,0.634,18448,0.086,18631,--------,-------,13033,13512,76.7
Porites astreoides ,35,10--10,CC,20230709.092,09/07/2023,37813,321.7,0.9,28,15.55,268.3,443.6,175.4,0.395,484.3,0.3,0.58,432,0.21,2206,0.2,-88983,-------,-------,904,18903,200,478.8,545.8,67,0.123,452.1,0.25,0.271,849,0.648,19332,0.081,19718,--------,-------,13882,14357,72
Porites astreoides ,35,10--10,CC,20230709.093,09/07/2023,37822,329.9,0.9,28,15.55,283.9,447.7,163.8,0.366,461.5,0.28,0.47,431,0.28,2748,0.25,-67873,-------,-------,1308,18015,200,450.6,505.3,54.7,0.108,481.3,0.31,0.269,864,0.651,19263,0.08,19418,--------,-------,13889,14332,72
Porites astreoides ,35,10--10,CC,20230709.094,09/07/2023,37832,300.7,0.9,28,15.55,291.5,482,190.5,0.395,526.4,0.35,0.56,422,0.23,1779,0.22,-74181,-------,-------,814,16670,0,516.4,590.6,74.1,0.126,467.5,0.26,0.267,725,0.632,18791,0.101,18942,--------,-------,13422,13977,74.5
Porites astreoides ,35,10--10,CC,20230709.095,09/07/2023,37843,297.3,0.9,28,15.55,283.6,475.9,192.4,0.404,515.2,0.33,0.61,457,0.2,1745,0.2,-85446,-------,-------,773,17413,200,502.8,581.2,78.4,0.135,449.2,0.26,0.316,723,0.621,19194,0.063,19323,--------,-------,12972,13371,77.1
Porites astreoides ,87,40--10,CC,20230709.096,09/07/2023,37860,208.1,0.8,28.1,15.54,284.8,413.7,128.9,0.312,646.8,0.36,0.44,581,0.28,4276,0.28,-59433,-------,-------,2027,18251,200,439.2,473.1,34,0.072,761.9,0.34,0.161,703,0.126,17197,0.713,17227,--------,-------,14175,14556,70.5
Porites astreoides ,87,40--10,CC,20230709.097,09/07/2023,37870,145.6,0.9,28.1,15.55,250,363.9,113.9,0.313,600.4,0.35,0.48,458,0.27,3368,0.25,-67942,-------,-------,1496,17962,200,395.1,429.6,34.6,0.08,635.6,0.43,0.203,864,0.102,18558,0.695,18562,--------,-------,14562,14968,68.7
Porites astreoides ,87,40--10,CC,20230709.098,09/07/2023,37879,102,0.9,28.1,15.54,273.5,373.6,100.1,0.268,649.2,0.34,0.45,641,0.28,4280,0.27,-64567,-------,-------,2023,19193,200,392.5,424.9,32.4,0.076,638.1,0.45,0.204,1026,0.09,18103,0.706,18142,--------,-------,14298,14639,69.9
Porites astreoides ,87,40--10,CC,20230709.099,09/07/2023,37893,164.8,0.9,28.1,15.54,186.6,258.5,71.9,0.278,575.5,0.32,0.4,548,0.29,4336,0.3,-76881,-------,-------,2144,24791,400,266.8,294,27.2,0.092,668.1,0.26,0.235,996,0.641,18647,0.124,18657,--------,-------,13911,14499,71.9
Porites astreoides ,87,40--10,CC,20230709.100,09/07/2023,37903,125.1,0.9,28.1,15.53,187.3,262,74.7,0.285,499.5,0.29,0.43,552,0.24,4357,0.32,-84112,-------,-------,1929,28626,400,242.5,271.6,29.1,0.107,543.2,0.33,0.323,978,0.605,17520,0.072,17534,--------,-------,11765,12182,85
Porites astreoides ,93,40--40,CC,20230709.101,09/07/2023,37961,270.4,0.9,28.1,15.53,98.1,160.1,62,0.387,470.3,0.28,0.58,379,0.24,1932,0.18,-110282,-------,-------,828,20648,700,168.5,198,29.4,0.149,396.1,0.08,0.384,746,0.566,20152,0.05,20406,--------,-------,12304,12709,81.3
Porites astreoides ,93,40--40,CC,20230709.102,09/07/2023,37970,298.8,0.9,28.1,15.53,201.8,331.7,129.9,0.392,534.1,0.32,0.59,445,0.23,1643,0.18,-88549,-------,-------,779,16215,300,352,408.5,56.5,0.138,430.7,0.14,0.325,690,0.596,19899,0.079,19983,--------,-------,13114,13653,76.3
Porites astreoides ,93,40--40,CC,20230709.103,09/07/2023,37979,475.8,0.8,28.1,15.52,116.2,193.3,77,0.398,430.9,0.26,0.71,450,0.13,2879,0.17,-130780,-------,-------,816,22373,600,199,230.1,31,0.135,389.2,0.04,0.36,649,0.579,18929,0.061,18999,--------,-------,11913,12344,83.9
Porites astreoides ,93,40--40,CC,20230709.104,09/07/2023,37989,308.5,0.9,28.2,15.53,183,300.3,117.3,0.391,557.9,0.3,0.65,480,0.17,2325,0.18,-99019,-------,-------,866,18091,400,311,356.5,45.5,0.128,463.6,0.14,0.304,659,0.607,20471,0.089,20557,--------,-------,13854,14451,72.2
Porites astreoides ,93,40--40,CC,20230709.105,09/07/2023,38004,342.6,0.8,28.2,15.52,107.8,172.6,64.8,0.375,471.5,0.21,0.63,400,0.19,2746,0.18,-127216,-------,-------,941,23308,600,181.9,210.4,28.5,0.135,400.6,0,0.358,668,0.579,19394,0.064,23004,--------,-------,12243,12928,81.7
Porites astreoides ,82,40--40,CC,20230709.106,09/07/2023,38017,285.5,0.9,28.2,15.52,199.2,339.3,140.1,0.413,508.3,0.29,0.6,411,0.2,1851,0.2,-79535,-------,-------,777,16182,300,374.4,423.7,49.3,0.116,439.8,0.2,0.256,683,0.672,21273,0.072,21463,--------,-------,15589,16013,64.1
Porites astreoides ,82,40--40,CC,20230709.107,09/07/2023,38027,381.3,0.9,28.2,15.52,170.9,305.9,135,0.441,470.9,0.29,0.6,389,0.21,1501,0.19,-91030,-------,-------,680,17893,400,348.4,404.2,55.7,0.138,412.2,0.07,0.299,579,0.076,19849,0.626,19852,--------,-------,13627,14097,73.4
Porites astreoides ,82,40--40,CC,20230709.108,09/07/2023,38037,334.2,0.8,28.2,15.51,162,282,120,0.426,489.2,0.28,0.59,377,0.22,1730,0.19,-97288,-------,-------,741,18759,400,342,393.3,51.3,0.13,437.4,0.04,0.287,576,0.62,20717,0.093,20739,--------,-------,14346,14944,69.7
Porites astreoides ,82,40--40,CC,20230709.109,09/07/2023,38046,396.6,0.9,28.2,15.51,168.8,302.9,134.1,0.443,463.5,0.29,0.66,437,0.16,2376,0.18,-115542,-------,-------,807,21453,400,360.1,415.7,55.6,0.134,428.4,0.04,0.291,577,0.628,20119,0.082,20125,--------,-------,13935,14440,71.8
Porites astreoides ,82,40--40,CC,20230709.110,09/07/2023,38058,311.8,0.8,28.2,15.51,213.2,351.9,138.7,0.394,464.4,0.28,0.58,481,0.19,3161,0.22,-88739,-------,-------,1149,20488,300,382,431.3,49.2,0.114,459.5,0.18,0.282,682,0.627,20262,0.091,20456,--------,-------,14193,14765,70.5
Porites astreoides ,92,40--40,CC,20230709.111,09/07/2023,38074,275.3,0.8,28.2,15.51,211.5,368.1,156.5,0.425,506.6,0.31,0.61,390,0.21,1643,0.18,-102644,-------,-------,714,18857,300,399.5,465,65.5,0.141,429.6,0.1,0.332,582,0.58,20615,0.089,20674,--------,-------,13327,13979,75
Porites astreoides ,92,40--40,CC,20230709.112,09/07/2023,38084,262.4,0.8,28.2,15.5,181.4,314.7,133.3,0.424,531,0.3,0.65,406,0.18,1941,0.17,-107875,-------,-------,740,19033,400,381.6,443.7,62.1,0.14,442.8,0.14,0.32,625,0.602,21301,0.077,21492,--------,-------,14127,14697,70.8
Porites astreoides ,92,40--40,CC,20230709.113,09/07/2023,38092,311.1,0.8,28.3,15.5,162.5,283.1,120.6,0.426,461.9,0.3,0.62,344,0.21,1758,0.17,-106672,-------,-------,698,19230,400,301.4,351.2,49.8,0.142,390.8,0.09,0.366,662,0.581,20796,0.052,20947,--------,-------,13013,13429,76.8
Porites astreoides ,92,40--40,CC,20230709.114,09/07/2023,38102,320.7,0.8,28.3,15.5,185.5,309.7,124.3,0.401,471.3,0.3,0.6,447,0.19,1954,0.2,-91020,-------,-------,813,19254,300,329.4,377.7,48.3,0.128,414.7,0.13,0.331,726,0.6,20788,0.069,20867,--------,-------,13655,14151,73.2
Porites astreoides ,92,40--40,CC,20230709.115,09/07/2023,38113,321.4,0.8,28.3,15.49,159.5,277.1,117.5,0.424,468.6,0.28,0.67,437,0.16,2184,0.18,-111904,-------,-------,770,20502,400,295.3,344.5,49.2,0.143,397.2,0,0.348,594,0.586,20456,0.066,24498,--------,-------,13063,13822,76.5
Porites astreoides ,27,10--40,CC,20230709.116,09/07/2023,38184,200.3,0.8,28.5,15.48,271.6,434.2,162.6,0.374,532.4,0.3,0.63,461,0.19,2195,0.18,-88470,-------,-------,857,16863,200,456.3,517.8,61.5,0.119,425.6,0.12,0.321,695,0.599,19427,0.079,19526,--------,-------,12893,13419,77.6
Porites astreoides ,27,10--40,CC,20230709.117,09/07/2023,38194,185.7,0.8,28.5,15.48,275.7,440.3,164.5,0.374,503.4,0.28,0.62,468,0.19,2144,0.18,-99289,-------,-------,860,19032,200,475.2,544.1,68.8,0.127,417.9,0.11,0.363,649,0.569,18479,0.068,18595,--------,-------,11542,12022,86.6
Porites astreoides ,27,10--40,CC,20230709.118,09/07/2023,38206,220.5,0.8,28.5,15.48,218.3,350.7,132.4,0.378,495.7,0.26,0.62,416,0.2,1980,0.18,-93414,-------,-------,802,17722,300,375.7,431.6,55.8,0.129,415.7,0.06,0.339,676,0.598,18255,0.064,18390,--------,-------,11897,12311,84.1
Porites astreoides ,27,10--40,CC,20230709.119,09/07/2023,38216,176.2,0.8,28.5,15.48,307.7,491.7,184,0.374,520.3,0.3,0.59,449,0.23,1811,0.19,-92902,-------,-------,832,17905,0,536.1,610.5,74.5,0.122,430.9,0.16,0.314,724,0.61,19159,0.076,19222,--------,-------,12900,13380,77.5
Porites astreoides ,27,10--40,CC,20230709.120,09/07/2023,38225,187.3,0.8,28.6,15.47,254.3,408,153.7,0.377,504.2,0.31,0.63,460,0.19,2096,0.18,-96117,-------,-------,839,18338,200,452.8,518.8,66.1,0.127,397.1,0.1,0.353,634,0.586,19386,0.062,19613,--------,-------,12340,12789,81
Porites astreoides ,28,10--40,CC,20230709.121,09/07/2023,38236,173.8,0.8,28.6,15.47,295.1,494.3,199.2,0.403,502.4,0.26,0.62,474,0.21,1935,0.16,-103719,-------,-------,847,17430,0,534.6,613.2,78.6,0.128,406.7,0.12,0.362,680,0.573,20144,0.066,20257,--------,-------,12613,13115,79.3
Porites astreoides ,28,10--40,CC,20230709.122,09/07/2023,38245,149.9,0.8,28.5,15.45,321.8,537.9,216,0.402,515.4,0.29,0.56,412,0.28,1518,0.15,-83212,-------,-------,782,13363,0,579.3,661.4,82.2,0.124,402.3,0.17,0.358,755,0.567,19410,0.075,19551,--------,-------,12186,12739,82.1
Porites astreoides ,28,10--40,CC,20230709.123,09/07/2023,38254,169,0.8,28.6,15.46,302.5,507.4,205,0.404,517.8,0.27,0.57,424,0.27,1613,0.16,-93411,-------,-------,804,15740,0,548.2,632.1,84,0.133,406.8,0.16,0.356,731,0.574,20738,0.069,21055,--------,-------,13077,13629,76.5
Porites astreoides ,28,10--40,CC,20230709.124,09/07/2023,38264,156.9,0.8,28.6,15.47,272.7,457.7,185,0.404,491.3,0.25,0.63,443,0.22,1901,0.15,-100510,-------,-------,823,15561,200,497.4,568.1,70.7,0.124,376.1,0.08,0.394,771,0.55,19906,0.056,19983,--------,-------,11922,12375,83.9
Porites astreoides ,28,10--40,CC,20230709.125,09/07/2023,38273,144.1,0.8,28.6,15.47,331.4,554.2,222.9,0.402,527.4,0.29,0.57,407,0.28,1645,0.15,-82063,-------,-------,819,12679,0,591.6,682.6,91.1,0.133,400.7,0.09,0.377,771,0.549,19465,0.074,19528,--------,-------,11861,12429,84.3
Porites astreoides ,74,10--40,CC,20230709.126,09/07/2023,38311,199.8,0.8,28.7,15.46,165.3,279.7,114.5,0.409,495.8,0.3,0.63,389,0.21,2008,0.15,-92964,-------,-------,795,15030,400,303.5,349.6,46.1,0.132,381.3,0.14,0.378,653,0.552,18617,0.069,18701,--------,-------,11314,11825,88.4
Porites astreoides ,74,10--40,CC,20230709.127,09/07/2023,38323,275,0.8,28.7,15.45,89.5,146.9,57.4,0.391,396.1,0.23,0.64,319,0.2,1965,0.16,-146074,-------,-------,711,23647,700,161.5,186.5,25,0.134,342.1,0,0.414,636,0.52,18680,0.066,18899,--------,-------,10686,11225,93.6
Porites astreoides ,74,10--40,CC,20230709.128,09/07/2023,38334,192.5,0.8,28.7,15.46,284.8,447.5,162.7,0.364,590.7,0.34,0.6,466,0.24,1809,0.16,-87451,-------,-------,844,14575,0,513.5,575.9,62.4,0.108,435.1,0.12,0.283,715,0.644,19538,0.074,19553,--------,-------,13796,14220,72.5
Porites astreoides ,74,10--40,CC,20230709.129,09/07/2023,38343,185.6,0.8,28.7,15.44,174.5,273.1,98.6,0.361,493.8,0.28,0.6,431,0.21,2051,0.19,-120467,-------,-------,846,23545,400,313.4,354.6,41.2,0.116,413,0.13,0.329,728,0.599,19571,0.073,19673,--------,-------,12896,13387,77.5
