ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009404,toxin metabolic process,2/92,10/26731,0.2,58.1108695652174,10.615167547249776,5.178770526545363e-4,0.1109351556714154,0.09392679084307483,Pastreoides19613/Pastreoides51430,2
GO:0006633,fatty acid biosynthetic process,3/92,49/26731,0.061224489795918366,17.789041703637974,6.9127235971341205,6.481282108890123e-4,0.1109351556714154,0.09392679084307483,Pastreoides49325/Pastreoides23075/Pastreoides25215,3
GO:0031982,vesicle,5/92,209/26731,0.023923444976076555,6.9510609527772,5.075733836509904,7.892156397124615e-4,0.1109351556714154,0.09392679084307483,Pastreoides02869/Pastreoides02437/Pastreoides00849/Pastreoides08894/Pastreoides00393,5
GO:0005368,taurine transmembrane transporter activity,2/92,14/26731,0.14285714285714285,41.50776397515528,8.909285527646443,0.0010379132462540672,0.1109351556714154,0.09392679084307483,Pastreoides19640/Pastreoides28742,2
GO:0015734,taurine transmembrane transport,2/92,15/26731,0.13333333333333333,38.74057971014493,8.592171027166117,0.0011949121054301477,0.1109351556714154,0.09392679084307483,Pastreoides19640/Pastreoides28742,2
GO:0020037,heme binding,5/92,243/26731,0.0205761316872428,5.978484523170513,4.581525925069308,0.0015409577996528317,0.1109351556714154,0.09392679084307483,Pastreoides43683/Pastreoides53450/Pastreoides25097/Pastreoides08894/Pastreoides25215,5
GO:0006749,glutathione metabolic process,3/92,69/26731,0.043478260869565216,12.632797731568997,5.685868275851595,0.0017539155046864096,0.1109351556714154,0.09392679084307483,Pastreoides28956/Pastreoides33124/Pastreoides34118,3
GO:0050885,neuromuscular process controlling balance,3/92,69/26731,0.043478260869565216,12.632797731568997,5.685868275851595,0.0017539155046864096,0.1109351556714154,0.09392679084307483,Pastreoides20631/Pastreoides54960/Pastreoides11564,3
GO:0004090,carbonyl reductase (NADPH) activity,2/92,21/26731,0.09523809523809523,27.67184265010352,7.185552351675969,0.002357942413424992,0.1325687623547829,0.1122435745337979,Pastreoides49325/Pastreoides23075,2
GO:0070633,transepithelial transport,2/92,23/26731,0.08695652173913043,25.265595463137995,6.84177237977068,0.0028280831025648224,0.14137861413339858,0.11970271677198506,Pastreoides02437/Pastreoides11564,2
GO:0004601,peroxidase activity,3/92,84/26731,0.03571428571428571,10.37694099378882,5.0583758960633265,0.0030734481333347516,0.14137861413339858,0.11970271677198506,Pastreoides43683/Pastreoides53450/Pastreoides25097,3
GO:0045177,apical part of cell,4/92,181/26731,0.022099447513812154,6.421090559692529,4.3005907959537195,0.003574845976205274,0.15073933866332237,0.12762827301013566,Pastreoides28956/Pastreoides04927/Pastreoides04587/Pastreoides33124,4
GO:0098688,parallel fiber to Purkinje cell synapse,2/92,27/26731,0.07407407407407407,21.522544283413847,6.269881863826879,0.003888635730430133,0.151020074243906,0.12786596675113324,Pastreoides20631/Pastreoides35628,2
GO:0016208,AMP binding,2/92,28/26731,0.07142857142857142,20.75388198757764,6.145905480263083,0.004178421026511233,0.151020074243906,0.12786596675113324,Pastreoides02918/Pastreoides04641,2
GO:0030178,negative regulation of Wnt signaling pathway,2/92,29/26731,0.06896551724137931,20.03823088455772,6.02820657983326,0.004477926242833114,0.1510553785915704,0.12789585830407563,Pastreoides31890/Pastreoides51402,2
GO:0044309,neuron spine,2/92,31/26731,0.06451612903225806,18.745441795231415,5.80960314258365,0.005105821381173014,0.16147160117959658,0.13671508566693533,Pastreoides54960/Pastreoides05152,2
GO:0030282,bone mineralization,2/92,41/26731,0.04878048780487805,14.17338282078473,4.96077338452237,0.008805427836627047,0.21758672887596167,0.18422674984921242,Pastreoides06104/Pastreoides02813,2
GO:0046677,response to antibiotic,2/92,46/26731,0.043478260869565216,12.632797731568997,4.640490876350734,0.010991283843343025,0.21758672887596167,0.18422674984921242,Pastreoides06104/Pastreoides11564,2
GO:0017053,transcription repressor complex,2/92,52/26731,0.038461538461538464,11.175167224080269,4.316113808975802,0.01389523007957216,0.21758672887596167,0.18422674984921242,Pastreoides31380/Pastreoides14026,2
GO:0071711,basement membrane organization,2/92,52/26731,0.038461538461538464,11.175167224080269,4.316113808975802,0.01389523007957216,0.21758672887596167,0.18422674984921242,Pastreoides43683/Pastreoides25097,2
GO:0001937,negative regulation of endothelial cell proliferation,2/92,53/26731,0.03773584905660377,10.964315012305168,4.267201821282758,0.014408143271949064,0.21758672887596167,0.18422674984921242,Pastreoides11219/Pastreoides25215,2
GO:0035725,sodium ion transmembrane transport,2/92,54/26731,0.037037037037037035,10.761272141706923,4.219580149765923,0.01492915655704038,0.21758672887596167,0.18422674984921242,Pastreoides02813/Pastreoides28742,2
GO:0150104,transport across blood-brain barrier,2/92,55/26731,0.03636363636363636,10.565612648221343,4.1731905472822906,0.015458209377878215,0.21758672887596167,0.18422674984921242,Pastreoides02813/Pastreoides11564,2
