"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides47868",21.5873981573537,-9.0517193713128,1.84794883623562,-4.89825215602381,9.66929008486461e-07,0.000113487383360491,"Downregulated"
"Pastreoides32645",41.4140864624005,-9.11264789365575,1.859766883141,-4.89988717202299,9.58917071358315e-07,0.000113487383360491,"Downregulated"
"Pastreoides33511",9.96780476806293,-19.652114377733,4.01736407388095,-4.89179322967067,9.99213876570237e-07,0.000116757699347198,"Downregulated"
"Pastreoides05506",61.2030268368008,-8.10714210145639,1.65937067153796,-4.88567276770199,1.03076273357302e-06,0.000119913578273993,"Downregulated"
"Pastreoides16225",106.474842990174,-7.86548039663708,1.6123716886048,-4.8782054734806,1.07055371065433e-06,0.000123996413995437,"Downregulated"
"Pastreoides08457",32.1255071027293,-8.60698003792659,1.76471370333027,-4.87726707266112,1.07565751574842e-06,0.000124043509501678,"Downregulated"
"Pastreoides12254",154.819726924756,5.0712727910908,1.04089985032599,4.87200837765761,1.10469483445487e-06,0.000126838179079497,"Upregulated"
"Pastreoides46739",53.8549372569486,-8.21765200992692,1.68746628288754,-4.86981701101912,1.1170164354376e-06,0.000127697705744745,"Downregulated"
"Pastreoides60417",50.8068876610807,-6.84849196989938,1.40781735173474,-4.8646168208259,1.14678758288643e-06,0.000129975821840621,"Downregulated"
"Pastreoides00487",42.983014332049,-7.38775605414767,1.51842469269251,-4.86540826799088,1.14220778845379e-06,0.000129975821840621,"Downregulated"
"Pastreoides41351",111.864589523062,-5.84936522829245,1.20320065148443,-4.86150437258813,1.16497006837694e-06,0.000130912891768928,"Downregulated"
"Pastreoides54460",8.4458825018012,-20.5934932766642,4.23557903029113,-4.86202550569542,1.16190646893126e-06,0.000130912891768928,"Downregulated"
"Pastreoides63886",72.7826683566618,-5.81502410415032,1.19661590488372,-4.85955775818922,1.17648256739887e-06,0.000131646405253684,"Downregulated"
"Pastreoides18886",85.9036712140499,-7.78357823786199,1.60235345591152,-4.85759131928493,1.18822341274552e-06,0.000132399172505416,"Downregulated"
"Pastreoides39326",38.6847751116702,-9.61042274326385,1.98107037148124,-4.8511263817843,1.22762286527157e-06,0.000136214557252486,"Downregulated"
"Pastreoides19147",36.8256377803878,-7.46560404367917,1.54104319027319,-4.84451317834623,1.26922494127699e-06,0.000140241390164196,"Downregulated"
"Pastreoides60937",69.1569920912282,-8.68277365646716,1.79656614830999,-4.83298300184213,1.34502275585213e-06,0.000147997337235596,"Downregulated"
"Pastreoides04428",75.7015674867427,-7.78525801147431,1.61205567592131,-4.82939772351531,1.3694663239527e-06,0.000150061687481091,"Downregulated"
"Pastreoides10329",57.2074992572006,-8.77258941312345,1.8191151601748,-4.82244863061912,1.41806556576208e-06,0.000154744939920021,"Downregulated"
"Pastreoides38166",69.9758320566864,-6.20127377594133,1.28622067200117,-4.82131403337892,1.42615637165758e-06,0.000154987396965981,"Downregulated"
"Pastreoides55800",58.4993403231143,-6.408257301013,1.33042888779576,-4.81668532591028,1.45962597794728e-06,0.000157329807451558,"Downregulated"
"Pastreoides01087",21.905528097914,-8.68725362259874,1.80328348845354,-4.81746418587171,1.45394177367186e-06,0.000157329807451558,"Downregulated"
"Pastreoides48803",50.9591882812606,-6.84539668384346,1.4217277994011,-4.81484338051706,1.47315384090953e-06,0.000158142465978613,"Downregulated"
"Pastreoides00759",59.6184768458696,-7.36685528703497,1.53044034352212,-4.81355272566918,1.48270458456295e-06,0.000158523330644284,"Downregulated"
"Pastreoides04421",27.8485754285573,-6.84249432532267,1.42206609862842,-4.81165701926391,1.4968406764715e-06,0.000159389389452658,"Downregulated"
"Pastreoides44450",7.09290270502951,-16.2926466370354,3.38752134018229,-4.80960708461799,1.51227263557174e-06,0.000160385926747705,"Downregulated"
"Pastreoides05941",53.7827454069512,-6.17710556292149,1.28692993724267,-4.79987712163753,1.58763010699404e-06,0.000167704543461995,"Downregulated"
"Pastreoides07611",84.5780297108027,-7.7545196075668,1.61811449731203,-4.79231823239234,1.64865118688893e-06,0.000173456496188697,"Downregulated"
"Pastreoides28919",22.199691549419,-8.71334620995864,1.81935739189037,-4.78924385543908,1.67410940515299e-06,0.000175436036393969,"Downregulated"
"Pastreoides03417",254.648914816698,-6.0712982266879,1.26800814617221,-4.78805932360575,1.68401872867385e-06,0.000175776943030905,"Downregulated"
"Pastreoides01340",60.4797149110888,-8.11601131513745,1.6960781765543,-4.78516345963822,1.70848232272449e-06,0.00017762835109649,"Downregulated"
"Pastreoides61624",65.3862361210532,-4.96098163307673,1.03730306758893,-4.78257684575047,1.73062192866452e-06,0.00017922456428303,"Downregulated"
"Pastreoides37478",113.167634032221,-6.70600013071763,1.4032747310974,-4.77882198126191,1.76325221218067e-06,0.000181890486012762,"Downregulated"
"Pastreoides40195",42.9389833248869,-8.28481966689046,1.73393937711267,-4.77803305942922,1.77018281608935e-06,0.00018189489419178,"Downregulated"
"Pastreoides35511",52.7578561895181,-6.37955792019026,1.336813771484,-4.77221140017754,1.8221409955417e-06,0.00018650813724909,"Downregulated"
"Pastreoides46308",8.10689707775021,-20.5994393126416,4.31733446349286,-4.77133274867382,1.83010911578965e-06,0.000186600469226923,"Downregulated"
"Pastreoides36375",36.6628024335701,-7.71499657545384,1.61776655859772,-4.76891831794399,1.85217735034677e-06,0.000188124228722914,"Downregulated"
"Pastreoides10097",62.4780680344143,-7.1022445707651,1.49086709527832,-4.76383481348433,1.89948020687268e-06,0.000192189552885417,"Downregulated"
"Pastreoides27265",62.087532102823,-6.69039895030774,1.40529362737429,-4.76085482776178,1.92774682795057e-06,0.000194305107757705,"Downregulated"
"Pastreoides23491",68.8609253821119,-8.02912345582995,1.69005959920179,-4.75079308423329,2.02620384775123e-06,0.000202712186485697,"Downregulated"
