"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides28147",9.09131796194055,-19.0721894511682,3.05657438412097,-6.23972691463,4.38335461688144e-10,8.20387432497025e-08,"Downregulated"
"Pastreoides01099",10.0152800734381,-21.2152341954504,3.40450159103491,-6.23152424170298,4.6191849624536e-10,8.58563130504048e-08,"Downregulated"
"Pastreoides51345",6.81531950892548,-20.3881454220213,3.28541370432662,-6.2056554385135,5.44694030878619e-10,9.98642777293174e-08,"Downregulated"
"Pastreoides04472",73.546953652167,-7.27650055033912,1.17239044156975,-6.20655055887046,5.41602020680726e-10,9.98642777293174e-08,"Downregulated"
"Pastreoides26940",73.2621476868252,-7.47670020700809,1.20691982140341,-6.19486073094248,5.83365886399902e-10,1.06231716245701e-07,"Downregulated"
"Pastreoides54536",60.095658561181,-8.23003838455407,1.32916614702934,-6.19188082915597,5.94504946276106e-10,1.07533575886492e-07,"Downregulated"
"Pastreoides20906",48.3018760129671,-10.1774702237012,1.64546868559379,-6.18514974657723,6.20435453211409e-10,1.11475705996671e-07,"Downregulated"
"Pastreoides61803",8.0882452942573,-22.0325133432497,3.56389077907486,-6.18215167328136,6.32337260086486e-10,1.12861731765503e-07,"Downregulated"
"Pastreoides43031",49.3534995169742,-9.83446572103326,1.59166171056358,-6.17874115822703,6.4614731419425e-10,1.14567870163482e-07,"Downregulated"
"Pastreoides41090",42.9061432318822,-9.80034531179007,1.586678543356,-6.17664198764626,6.54793229822858e-10,1.1459306712309e-07,"Downregulated"
"Pastreoides44450",7.09290270502951,-20.2107293459275,3.27195554689023,-6.17695719159034,6.53487825727034e-10,1.1459306712309e-07,"Downregulated"
"Pastreoides54847",48.5221966471553,-8.47277486510976,1.37208546056565,-6.17510724267627,6.61185750880509e-10,1.14965272077294e-07,"Downregulated"
"Pastreoides19353",111.15543637271,-7.59396083871513,1.23078713495301,-6.1700034254949,6.82885133344604e-10,1.17225714832933e-07,"Downregulated"
"Pastreoides48296",10.1320222650893,-20.0770028974713,3.25360387939341,-6.1706967540297,6.79897104873243e-10,1.17225714832933e-07,"Downregulated"
"Pastreoides22711",6.04131726678375,-21.0779401286865,3.42047228374169,-6.16228940923594,7.17006522005032e-10,1.22304068193403e-07,"Downregulated"
"Pastreoides55784",75.1013574354298,-9.37903980018097,1.52227343250574,-6.16120573341582,7.21931247451424e-10,1.22369616667065e-07,"Downregulated"
"Pastreoides46677",9.44803375029482,-21.0767023166226,3.42255608744558,-6.15817587151746,7.35876097444388e-10,1.23953729388898e-07,"Downregulated"
"Pastreoides11482",52.5015625660077,-8.50933873738176,1.38887913427478,-6.12676692117276,8.96826974829428e-10,1.50126607444894e-07,"Downregulated"
"Pastreoides25724",107.54665537599,-8.57603559324102,1.40053337477335,-6.12340680180427,9.15954408688006e-10,1.52382020176237e-07,"Downregulated"
"Pastreoides16831",75.7987897714219,-6.64663269499683,1.08621219406805,-6.11909232035415,9.41098723494652e-10,1.5560461163745e-07,"Downregulated"
"Pastreoides34307",114.08073329238,-5.86898063212011,0.960890388993551,-6.10785652489183,1.00978062746274e-09,1.64936955701505e-07,"Downregulated"
"Pastreoides08191",45.3679110616052,-9.81880330129106,1.60745626385563,-6.10828644117493,1.00706495023041e-09,1.64936955701505e-07,"Downregulated"
"Pastreoides35615",9.78047794263915,-21.3510949843989,3.49810870356219,-6.10361106350317,1.03698450858041e-09,1.68360057173197e-07,"Downregulated"
"Pastreoides59875",6.92896538824343,-20.2418889019079,3.31850233683217,-6.0997060864603,1.06263674416918e-09,1.71491753844931e-07,"Downregulated"
"Pastreoides35854",44.6960700356919,-9.44240555039569,1.54893363173325,-6.09606851897822,1.08708832426416e-09,1.74393556114544e-07,"Downregulated"
"Pastreoides10687",55.5895133585872,-6.73050224006042,1.10458633843292,-6.09323328188996,1.10652627452526e-09,1.7646147706941e-07,"Downregulated"
"Pastreoides50226",10.4030611178661,-20.0089472933982,3.28504433611861,-6.09092153594475,1.12262567457258e-09,1.77975791502385e-07,"Downregulated"
"Pastreoides14137",43.6144260007451,-8.27243550922446,1.3590845288123,-6.08677042071382,1.15210988084911e-09,1.80526240690491e-07,"Downregulated"
"Pastreoides09041",85.6892161847579,-7.74223488224528,1.27188144997951,-6.08722997129173,1.14880902152158e-09,1.80526240690491e-07,"Downregulated"
"Pastreoides09621",70.8274968102664,-8.62840112113848,1.4180675465746,-6.08461927076797,1.16768450779521e-09,1.81909047223056e-07,"Downregulated"
"Pastreoides22888",52.3321322208287,-8.40302872327531,1.3834609951556,-6.07391805963434,1.24826440643005e-09,1.93344678262622e-07,"Downregulated"
