slice,38_SS,90_DD,96_DS,70_SD,86_DS,95_DS,25_SD,83_DD,94_DD,39_SS,35_SS
69,175.605,196.102,180.502,163.892,158.823,191.504,167.005,167.092,171.107,152.188,197.214
70,175.772,196.58,179.203,163.788,159.404,191.171,167.164,167.302,170.908,152.234,197.498
71,175.94,197.481,178.874,163.993,159.782,191.117,167.248,167.533,170.757,152.271,197.641
72,175.986,198.236,179.007,164.74,160.331,191.216,167.308,167.946,170.354,152.336,197.645
73,175.927,198.679,179.38,165.217,160.655,191.44,167.576,168.337,170.167,152.093,197.414
74,175.915,198.852,179.78,165.797,160.93,191.684,168.062,168.538,169.562,151.866,196.788
75,175.981,199.074,180.061,166.035,160.909,191.683,168.384,168.555,169.009,151.619,196.294
76,176.37,198.945,179.808,166.535,160.657,191.693,168.129,168.868,169.026,151.868,196.316
77,176.849,199.098,179.36,167.235,160.092,191.802,167.994,169.022,169.235,151.795,196.349
78,177.385,199.795,178.889,167.871,159.542,191.891,167.629,168.801,169.247,151.59,196.654
79,177.758,200.738,178.363,168.637,159.138,192.002,167.286,168.933,168.868,151.423,197.265
80,178.2,201.207,177.58,169.894,158.697,192.286,167.354,169.227,168.558,151.132,198.294
81,178.475,201.437,176.986,170.947,158.277,192.477,167.574,169.48,168.669,150.965,199.366
82,178.495,201.51,176.805,171.303,158.178,192.481,168.042,169.815,169.121,150.812,200.675
83,178.409,201.064,176.317,171.694,157.721,192.684,168.449,170.128,169.682,150.462,201.649
84,178.472,200.396,175.564,172.372,157.151,192.677,168.55,170.473,169.889,150.364,202.418
85,178.302,199.929,175.106,173.449,156.926,192.705,168.394,170.692,170.205,150.414,202.953
86,178.015,199.15,174.437,174.086,157.006,192.542,168.527,170.615,170.589,150.634,203.01
87,177.683,198.143,173.71,174.076,157.192,192.282,168.301,170.698,171.07,150.923,202.834
88,177.401,197.611,173.616,173.623,157.384,191.935,167.915,170.302,170.984,151.147,202.564
89,177.207,197.587,173.353,172.814,157.492,191.541,167.469,170.153,170.896,151.556,201.945
90,177.025,197.538,173.279,172.398,157.409,190.977,167.25,170.301,170.916,152.107,201.509
91,176.93,197.282,173.701,172.531,157.289,190.26,167.499,170.074,170.716,152.239,201.151
92,177.003,197.246,175.014,173.74,157.153,189.731,168.027,169.928,170.099,151.956,201.105
93,177.006,197.641,176.556,175.385,157.078,189.714,168.623,169.896,169.427,151.937,201.294
94,176.894,198.41,177.659,176.876,157.337,189.621,169.09,169.56,168.922,152.191,201.897
95,176.753,198.837,178.328,178.864,157.618,189.587,169.541,169.324,168.624,152.324,202.316
96,176.603,199.021,178.251,180.313,157.758,189.386,170.216,169.265,168.767,152.227,202.748
97,176.512,199.183,177.585,182.002,157.462,189.246,171.058,168.913,168.829,152.196,203.733
98,176.454,199.479,177.321,183.897,157.158,189.345,171.655,168.79,168.791,152.27,204.129
99,176.168,199.911,177.571,184.981,156.757,189.325,172.02,168.615,169.005,152.284,204.028
100,175.802,200.092,178.011,185.66,156.368,189.158,172.453,168.146,169.378,152.431,204.097
101,175.457,200.197,178.123,185.691,156.216,189.024,172.644,167.911,169.772,152.654,204.127
102,175.122,200.394,178.74,185.418,156.091,188.895,172.782,167.645,169.954,152.929,204.202
103,174.74,200.64,179.995,184.498,155.98,188.601,172.659,167.148,170.032,153.145,204.127
104,174.389,200.08,180.664,183.311,155.714,188.556,172.901,166.768,169.86,153.237,203.996
105,174.167,199.995,180.79,182.259,154.884,188.704,172.855,166.119,170.055,153.018,203.492
106,173.951,199.628,180.995,181.334,153.996,188.687,172.544,165.439,170.128,152.645,202.864
107,173.763,199.576,181.033,180.228,152.958,188.865,172.436,165.152,170.464,152.496,202.395
108,173.8,199.977,180.948,178.989,152.232,189.208,172.523,164.892,170.898,152.221,202.377
109,173.739,200.79,180.842,178.295,151.505,189.54,172.773,164.622,171.3,152.003,202.203
110,173.732,201.879,180.999,177.627,150.885,189.895,173.18,164.55,171.355,152.092,201.655
111,173.778,202.716,180.512,177.208,150.329,190.42,173.855,164.38,171.171,152.395,201.201
112,173.834,203.325,180.699,177.782,149.727,191.063,174.58,164.231,171.017,152.565,200.786
113,173.785,204.098,181.094,178.166,149.001,192.053,175.293,163.715,170.903,152.255,200.301
114,173.581,205.189,181.557,178.232,148.095,192.821,175.979,163.451,170.711,151.799,199.439
115,173.428,205.615,182.159,178.845,147.27,193.477,176.612,163.211,170.679,151.374,198.666
116,173.238,205.511,182.601,179.197,146.335,193.715,177.141,163.177,170.833,151.393,198.261
117,173.153,205.257,183.09,179.955,145.507,193.928,177.61,162.95,171.08,151.316,198.301
