slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
194,181.659,190.252,167.809,151.099,165.052,154.303,175.236,141.942,173.652,159.92,166.538,155.846,158.576,187.138,187.745,154.12,155.893
195,180.953,190.672,168.512,150.995,164.501,154.567,175.486,141.985,172.558,160.151,166.015,156.362,159.17,187.456,188.279,153.944,155.85
196,180.636,190.921,168.954,150.974,164.006,154.802,175.564,141.844,172.016,160.649,165.606,156.888,159.412,187.801,188.482,154.065,156.09
197,180.53,190.673,169.103,151.464,164.145,154.567,175.712,141.629,171.426,160.91,165.259,157.134,159.391,188.627,188.284,154.128,156.522
198,181.049,190.077,169.439,151.632,164.722,154.546,175.613,141.411,171.145,160.331,164.981,157.439,159.336,189.099,188.071,154.249,156.84
199,181.593,190.082,169.709,151.783,165.177,154.856,175.5,141.266,171.022,160.243,164.359,157.543,159.466,189.778,187.936,154.203,156.822
200,181.966,190.263,169.395,151.934,165.478,154.859,175.55,141.002,171.147,160.468,163.962,157.636,159.165,190.454,188.234,154.114,156.941
201,182.383,190.473,168.912,152.457,165.817,154.746,175.627,140.752,171.221,160.79,163.616,158.023,158.82,190.904,188.118,153.879,157.036
202,183.001,191.108,168.579,152.713,166.131,154.825,175.586,140.661,171.34,160.756,163.297,158.015,158.441,191.129,188.075,154.29,156.967
203,183.175,191.607,168.404,152.923,166.712,155.849,175.631,140.728,171.057,160.691,163.022,157.538,158.058,190.827,188.121,154.524,157.273
204,183.161,192.846,167.97,153.042,166.852,157.068,175.488,140.838,170.9,160.963,163.511,157.135,158.015,190.496,187.933,154.887,157.542
205,183.153,193.239,167.332,152.998,167.066,157.971,175.279,140.822,170.887,161.552,163.877,156.647,157.924,189.972,187.704,155.251,157.744
206,183.12,194.527,166.896,152.962,167.125,158.29,174.856,140.871,170.582,161.944,164.447,156.365,157.783,190.167,187.661,155.227,158.029
207,183.393,195.518,166.722,153.115,167.169,158.516,174.451,140.675,170.09,162.047,164.983,156.582,157.515,190.216,187.836,154.925,158.527
208,183.96,196.31,166.513,153.274,167.521,158.836,174.027,140.519,169.472,162.548,165.241,157.061,157.489,189.938,187.954,154.809,158.875
209,184.133,196.674,166.804,153.127,168.215,159.125,173.65,140.306,168.901,162.449,165.357,157.563,157.755,190.004,188.157,154.873,159.251
210,184.137,197.346,167.077,153.121,168.784,158.953,173.634,140.323,168.065,162.514,165.28,157.94,157.716,190.393,188.521,154.564,159.736
211,184.295,197.888,167.295,152.821,168.786,158.455,173.732,140.561,167.348,162.564,164.946,158.433,157.585,191.313,188.468,154.389,160.073
212,184.364,198.214,167.426,152.835,168.997,158.335,174.006,140.544,166.959,162.692,164.666,158.602,157.537,192.347,188.372,153.985,160.136
213,184.272,198.05,167.302,152.785,169.051,158.56,174.292,140.427,167.013,162.739,164.376,159.108,157.877,193.471,188.756,153.65,160.193
214,184.343,197.402,167.242,152.477,168.72,158.576,174.891,140.494,166.789,162.569,164.161,159.511,158.394,194.591,189.165,153.052,160.106
215,183.769,196.786,167.596,152.197,168.538,158.971,175.218,140.373,166.366,162.362,164.223,160.077,158.751,195.237,189.208,152.642,159.648
216,183.492,195.952,167.967,151.667,168.083,159.222,175.609,140.063,166.59,162.328,164.072,160.595,158.79,195.74,188.756,152.277,159.213
217,183.429,195.411,168.528,150.958,167.506,159.312,175.944,139.766,166.712,161.523,164.191,160.672,158.832,195.824,187.93,151.935,158.876
218,183.3,195.106,168.979,150.644,167.322,159.62,176.242,139.342,166.809,161.147,164.283,160.677,159.244,195.865,187.23,151.704,158.421
219,183.187,194.776,169.122,150.236,167.459,160.19,176.623,138.892,167.09,161.365,164.131,160.455,159.526,195.775,187.048,151.661,157.737
220,182.93,194.501,169.229,149.755,167.968,160.833,177.177,138.572,167.527,161.204,164.327,159.759,159.948,195.673,187.19,151.91,156.785
221,182.605,194.165,169.308,149.883,168.439,161.672,177.31,138.156,168.276,161.128,164.851,159.373,160.399,195.164,187.404,152.218,155.905
222,182.247,194.678,169.3,150.094,168.724,162.71,177.471,137.669,168.351,161.309,165.432,159.28,160.459,194.531,187.658,152.549,155.174
223,181.691,194.938,168.971,149.738,168.646,163.693,177.427,137.473,168.237,161.759,166.564,159.646,160.018,193.972,187.818,153.055,154.926
224,181.604,195.085,168.732,149.295,168.438,163.628,177.284,137.434,167.962,162.116,167.112,159.895,160.426,193.897,188.223,153.809,154.917
225,181.937,195.841,168.226,149.165,168.326,163.421,177.018,137.364,167.682,162.468,167.706,160.094,160.811,194.498,188.527,154.279,154.926
226,182.637,196.103,167.824,149.247,168.148,162.823,177.177,137.486,167.46,162.659,167.908,160.12,160.771,195.134,189.108,154.028,154.484
227,183.514,196.435,167.061,149.215,168.313,162.005,177.284,137.466,166.997,162.99,168.357,160.221,160.801,195.495,189.703,153.816,154.189
228,184.456,196.312,166.511,148.934,168.717,161.158,177.035,137.515,167,163.125,168.47,160.658,161.445,195.719,190.505,153.359,153.942
229,185.068,195.93,166.143,149.22,168.945,160.257,177.122,137.64,166.859,163.166,168.459,161.532,161.953,195.782,191.16,152.458,153.581
230,185.746,196.067,165.845,149.629,169.154,159.614,177.27,137.815,166.471,163.432,168.337,162.094,161.903,195.992,191.537,151.88,152.986
231,185.952,196.158,166.2,149.967,169.226,158.956,177.584,137.869,165.986,163.188,168.255,162.572,161.703,196.025,192.616,151.363,152.489
232,185.9,195.807,166.564,150.045,169.094,158.776,178.341,137.837,166.151,163.03,168.168,163.037,161.863,196.579,193.507,150.755,152.394
233,185.952,194.912,167.15,150.106,169.212,158.676,179.053,137.565,166.251,162.377,167.987,163.578,161.846,196.963,194.236,150.64,152.39
234,185.913,193.823,167.765,149.557,169.053,158.644,179.819,137.356,166.504,161.673,167.977,164.094,161.996,197.151,194.735,150.772,152.228
235,186.098,191.946,168.303,148.993,169.423,158.975,180.641,137.068,166.75,161.322,168.043,164.635,161.829,197.189,195.349,150.852,152.397
236,185.984,190.572,168.972,148.819,170.193,159.205,181.6,136.571,167.283,161.03,168.121,164.902,161.618,197.237,195.734,151.239,152.524
237,185.992,189.885,169.51,148.966,171.073,159.757,182.379,136.249,167.874,160.529,168.412,165.158,161.243,197.082,195.914,151.899,152.757
238,185.87,188.934,169.748,148.901,171.806,160.29,182.843,136.197,168.28,160.404,168.538,164.892,160.437,196.82,195.723,152.622,153.148
239,185.555,188.546,169.961,148.353,172.547,160.145,183.289,136.123,168.476,160.119,168.314,164.519,160.134,196.235,195.211,152.944,153.321
240,185.28,188.483,169.73,147.494,172.956,160.09,183.431,135.958,169.33,160.184,168.133,164.731,160.107,196.076,194.711,153.269,154.019
241,184.84,187.968,169.491,146.817,173.224,159.878,183.679,135.851,170.235,160.451,168.345,165.163,160.634,195.997,194.393,153.168,154.877
242,184.553,187.634,169.249,146.986,173.43,159.39,183.746,135.774,170.895,160.304,168.308,165.62,160.678,196.064,194.53,152.763,155.443
243,184.136,187.365,168.841,147.13,173.493,158.592,184.069,135.825,171.237,160.155,168.193,166.394,160.762,195.969,194.963,152.506,155.769
244,183.826,186.918,168.551,147.398,173.22,157.838,184.227,135.969,171.889,159.839,168.45,167.303,160.731,196.007,195.472,152.403,155.932
245,183.561,187.346,168.431,147.844,173.157,157.421,184.086,136.02,172.243,160.253,169.042,167.917,160.445,196.513,195.658,152.266,156.199
246,183.633,187.972,168.365,148.426,172.821,157.162,184.067,136.391,172.647,160.817,169.566,168.793,160.408,197.013,196.444,151.849,156.371
247,183.818,188.614,168.47,148.39,172.028,157.105,184.068,136.771,173.122,161.432,170.037,169.561,160.383,197.335,197.403,151.816,156.434
248,184.047,188.482,168.747,148.238,171.6,157.326,184.221,136.856,173.915,161.775,170.177,169.993,160.7,197.597,198.305,151.883,156.12
249,184.28,187.98,169.376,147.84,171.227,157.157,184.1,136.811,174.577,162.353,169.866,170.362,160.492,197.866,198.932,151.815,155.883
250,184.315,187.252,169.853,147.111,171.079,156.912,184.029,136.589,174.841,162.818,169.571,170.502,160.086,198.042,199.153,152.162,155.627
251,184.561,187.068,170.493,146.74,171.237,157.127,183.993,136.274,174.886,163.016,169.44,170.543,159.881,198.159,199.509,152.472,156.159
252,185.078,186.985,170.574,146.614,171.39,157.33,183.751,135.738,175.012,162.906,169.513,170.777,159.631,198.198,199.766,152.577,156.459
253,185.609,185.92,170.899,146.718,171.686,157.228,183.712,135.312,174.553,162.257,169.475,170.894,159.292,198.475,199.741,153.002,156.676
254,185.961,184.896,171.138,146.692,171.604,157.261,183.386,135.094,174.506,161.739,169.308,170.763,159.293,198.566,199.852,153.527,156.879
255,186.148,183.905,171.315,146.711,171.953,157.478,183.594,134.939,174.471,161.563,169.354,170.688,159.181,198.777,199.931,153.931,157.154
256,186.229,182.955,171.456,146.981,172.763,157.575,183.79,134.862,174.826,161.185,169.071,170.715,159.174,198.904,200.048,154.09,158.132
257,186.342,181.849,171.337,147.171,173.413,158.134,184.647,134.817,175.3,160.56,168.718,171.189,159.155,198.868,200.126,154.164,159.246
258,186.121,180.588,171.278,147.367,174.301,158.375,185.414,134.645,175.512,160.166,168.776,172.34,159.147,198.724,199.752,154.268,160.129
259,185.91,179.811,171.122,146.97,175.061,158.448,185.705,134.785,175.853,159.772,169.054,173.161,159.073,198.554,199.547,154.621,161.07
260,185.961,179.173,170.745,146.327,175.679,158.403,185.781,134.952,176.123,159.392,169.419,173.888,158.941,198.396,199.17,154.818,161.602
261,185.575,179.183,170.632,145.784,176.462,158.148,185.677,135.245,176.103,159.328,169.478,174.741,158.609,198.348,198.633,154.57,161.562
262,185.075,179.242,170.46,145.176,176.795,157.457,185.412,135.692,176.279,159.218,169.51,175.134,158.615,198.261,197.922,154.248,161.642
263,184.702,180.054,170.462,144.748,177.287,156.691,184.926,135.981,176.834,159.13,170.148,175.199,158.272,198.186,197.277,153.94,161.882
264,184.302,180.404,170.782,144.538,177.687,156.16,184.96,136.182,177.731,159.292,170.389,175.123,158.075,198.213,196.928,153.705,161.873
265,184.079,180.328,171.085,144.277,177.78,156.075,184.841,136.289,178.034,159.517,170.68,175.033,158.095,198.479,196.758,153.483,161.56
266,184,180.221,171.388,144.344,177.259,155.691,184.984,136.332,178.606,159.665,170.715,174.607,158.184,199.12,196.512,153.388,161.548
267,183.846,180.155,171.457,144.359,176.554,155.34,185.157,136.384,179.33,160.147,170.519,174.163,157.931,199.501,196.583,153.559,161.361
268,183.592,179.9,171.818,144.513,176.32,154.932,184.967,136.572,179.8,160.128,170.49,173.952,157.955,199.694,196.867,153.491,161.331
269,183.414,179.593,172.067,144.798,176.027,154.551,184.535,136.627,179.856,160.381,170.298,173.921,157.449,200.09,197.119,153.541,161.829
270,183.621,179.533,172.234,145.061,175.788,154.427,184.008,136.868,179.673,159.654,170.354,173.624,157.132,200.696,197.349,153.646,162.357
271,183.774,179.151,172.562,144.878,175.723,154.101,183.774,137.041,179.419,159.198,169.558,173.582,156.925,200.748,197.422,153.842,162.687
272,183.856,178.951,172.799,145.012,175.254,153.492,183.591,137.342,179.306,158.959,168.986,173.093,156.976,200.62,198.078,153.888,162.722
273,184.245,178.291,172.965,144.658,174.949,153.074,183.304,137.227,179.288,159.104,168.293,172.367,156.701,200.579,198.54,154.053,162.64
274,184.679,177.7,172.854,144.285,174.856,152.833,183.467,137.269,179.474,159.046,167.608,171.146,156.983,201.099,198.851,153.984,162.265
275,184.772,177.546,172.984,143.801,174.915,153.207,184.091,137.537,179.846,159.271,167.032,169.707,157.044,201.666,199.236,154.05,161.951
276,185.049,177.086,172.991,143.505,174.999,153.54,184.607,137.648,179.988,159.257,166.981,168.864,156.913,202.17,199.399,153.871,161.691
277,185.251,175.869,173.158,143.387,175.34,153.468,185.04,137.833,180.352,159.566,166.998,168.522,156.474,202.624,199.74,153.309,161.074
278,185.328,174.844,173.154,142.816,175.252,153.167,185.33,137.971,180.234,159.916,167.251,168.383,156.098,203.461,200.264,152.965,160.575
279,185.057,174.202,173.231,142.326,174.764,152.928,185.703,137.831,180.122,159.831,168.019,167.936,155.877,204.473,201.263,152.663,160.276
280,184.47,173.503,172.977,142.083,174.62,152.327,185.769,137.625,179.876,159.767,169.161,167.679,155.59,205.336,202.599,152.465,159.75
281,183.858,172.706,172.847,141.929,173.805,152.144,185.796,137.549,179.369,160.312,170.044,167.75,155.732,205.729,204.086,152.092,158.928
282,184.06,172.105,172.939,142.002,173.12,151.737,185.697,137.745,179.115,160.213,170.882,167.367,155.697,206.413,205.385,152.33,158.128
283,184.72,171.992,172.9,141.6,172.303,150.967,185.701,137.903,179.158,159.882,171.233,166.922,155.628,206.432,206.326,152.571,157.458
284,185.493,171.742,172.862,141.309,171.888,150.51,185.806,138.023,178.973,159.646,171.49,166.526,155.904,206.609,206.633,152.712,156.771
285,186.241,171.672,172.852,141.115,171.414,149.348,185.61,138.012,178.664,159.076,170.979,166.252,156.645,206.322,207.214,152.973,155.696
286,187.062,171.58,172.528,140.812,171.142,148.343,185.119,138.007,178.413,158.215,170.196,165.319,157.149,205.751,206.749,153.351,154.614
287,187.865,170.815,172.552,140.805,170.907,147.478,184.383,137.809,178.22,157.391,169.749,164.115,157.506,205.318,206.643,153.847,153.814
288,188.377,169.837,172.63,141.073,170.872,146.584,183.805,137.801,177.866,156.702,169.304,162.711,157.342,205.218,205.881,153.909,153.532
289,188.865,168.343,172.497,141.114,170.525,145.275,183.079,137.821,177.575,155.966,169.387,161.422,157.198,204.955,205.438,153.89,153.474
290,189.012,167.332,172.39,141.086,170.456,144.465,182.784,138.038,177.209,155.256,169.403,161.017,157.057,204.896,205.021,153.972,153.418
291,189.275,166.776,172.198,141.293,170.97,143.769,182.32,138.147,177.047,154.306,169.581,160.484,156.43,205.037,204.72,154.172,153.267
292,189.524,166.58,171.871,141.332,171.529,143.42,181.969,138.473,176.906,153.345,169.443,160.283,155.997,204.762,204.229,154.255,153.01
293,189.927,166.38,171.461,141.653,171.823,143.44,181.583,138.678,177.028,152.744,169.283,159.828,155.629,204.341,204.047,153.96,153.052
294,190.174,166.315,171.322,142.059,171.952,143.946,181.682,138.803,177.014,152.561,169.297,158.951,155.087,203.796,204.105,153.631,153.481
295,190.575,165.823,171.237,142.584,172.16,144.53,181.988,139,177.245,152.619,169.433,158.986,154.231,203.777,204.081,153.315,153.56
296,191.247,166.043,171.376,142.949,171.939,145.093,182.418,139.286,177.443,152.691,169.46,159.416,153.599,204.254,203.672,153.112,153.49
297,191.81,166.837,171.599,143.289,171.303,145.572,182.695,139.682,178.037,152.642,169.767,159.756,152.986,204.642,203.178,153.132,153.657
298,191.994,167.619,171.727,143.386,170.526,145.544,182.87,140.008,178.703,152.693,170.137,161.154,152.793,205.135,203.149,153.059,154.018
299,192.021,168.083,171.949,143.471,169.733,145.831,183.169,140.011,179.351,153.096,170.478,162.231,152.757,205.502,203.008,152.608,153.997
300,191.698,168.347,171.887,143.745,169.339,146.265,183.486,139.838,179.971,153.469,170.767,162.442,152.965,205.969,202.9,152.541,153.821
301,191.283,167.684,171.884,144.403,169.198,146.884,183.579,139.696,181.233,153.861,170.886,161.832,153.381,206.057,202.823,152.366,153.541
302,190.792,166.988,172.038,144.69,169.519,147.193,183.278,139.374,182.304,153.676,170.714,161.302,153.448,206.292,203.131,152.654,153.208
303,190.356,165.762,172.433,144.838,169.693,146.896,182.998,139.305,182.818,153.259,170.806,160.975,153.75,206.527,203.867,153.021,152.814
304,190.078,163.733,173.084,145.229,170.058,146.503,182.782,139.135,183.309,153.278,170.634,160.981,154.039,206.686,204.211,153.381,152.938
305,190.058,162.389,173.449,145.653,170.014,146.392,182.497,138.955,183.68,153.325,170.683,161.747,154.022,206.434,204.47,153.689,153.241
306,190.366,160.807,173.587,146.087,169.911,145.998,182.264,138.912,184.151,153.431,170.602,162.295,153.58,206.158,204.689,154.205,153.964
307,190.744,159.005,173.705,146.66,170.118,145.702,181.753,139.173,184.411,153.454,170.643,162.052,153.362,205.945,205.164,154.238,154.548
308,191.036,157.508,173.752,147.569,170.244,145.35,181.348,139.569,184.399,153.346,170.501,160.727,153.375,205.692,205.334,154.162,154.961
309,191.382,156.498,173.385,148.149,170.314,145.23,180.679,139.836,184.173,153.032,170.5,159.978,153.528,205.77,205.269,154.071,155.338
310,192.265,155.512,173.017,148.289,169.968,145.389,180.115,140.02,183.647,152.929,170.518,159.517,153.497,205.705,204.913,154.112,155.681
311,193.454,154.457,172.473,148.286,169.176,145.676,179.22,140.156,183.196,152.72,170.762,159.305,153.441,205.763,204.806,154.067,155.537
312,194.047,153.621,172.254,147.911,168.056,146.272,178.551,139.953,182.69,152.711,171.228,159.656,153.677,206.303,204.448,154.477,155.349
313,194.488,152.996,171.933,147.813,166.997,146.737,178.462,140.008,182.174,152.522,172.488,160.479,153.638,206.561,203.922,154.806,154.9
314,194.894,151.752,171.458,147.673,166.092,147.069,178.879,140.304,181.328,152.914,174.327,161.564,153.849,207.05,204.009,155.064,154.487
315,195.122,150.63,171.381,147.788,165.468,147.582,179.336,140.582,180.855,153.135,176.101,161.906,154.116,207.218,203.987,155.334,153.795
316,195.371,149.813,171.706,147.827,164.918,147.965,180.129,140.863,180.498,153.49,177.983,161.615,154.244,207.423,204.114,155.251,153.197
317,195.241,149.201,171.914,148.104,164.972,148.389,180.869,141.161,180.126,153.529,179.909,161.485,153.974,207.378,204.807,155.521,152.956
318,195.18,149.156,172.03,148.48,165.215,148.694,181.479,141.35,179.839,153.541,180.838,160.99,153.932,207.079,204.856,155.715,152.529
319,195.364,148.64,171.888,148.914,165.714,148.657,182.44,141.615,179.764,153.194,180.756,160.865,154.526,206.729,205.076,155.716,152.231
320,195.902,148.155,171.846,148.861,165.787,148.734,183.151,141.726,179.208,153.667,180.406,160.14,155.391,206.122,204.724,155.444,152.125
321,195.865,147.412,171.868,148.603,165.896,149.126,183.778,141.711,178.721,153.996,173.947,159.445,156.057,205.766,203.775,155.221,151.796
322,195.985,146.981,171.962,148.518,165.678,149.255,184.027,141.671,178.788,153.883,170.817,158.733,156.309,205.46,202.959,155.167,152.005
323,195.7,146.057,172.231,148.594,165.05,149.076,184.253,141.641,178.769,153.858,,158.346,156.5,205.046,202.364,155.688,152.21
324,195.217,145.554,172.29,148.741,164.619,148.945,184.56,141.805,179.184,154.146,,158.249,156.301,204.771,201.807,156.121,152.242
325,194.634,144.689,172.429,148.939,163.699,148.534,184.897,142.07,179.585,154.365,,157.433,156.365,204.897,201.205,156.252,152.572
326,194.009,143.782,172.546,149.717,163.056,148.545,184.962,142.407,179.911,154.856,,156.002,156.873,204.546,200.735,156.349,153.011
327,193.543,143.092,172.244,150.476,162.233,148.475,184.76,142.672,180.543,154.849,,154.332,157.146,204.024,199.94,156.725,153.474
328,193.442,142.958,171.875,151.394,161.591,148.683,184.218,142.881,181.411,155.256,,153.327,157.359,203.707,199.118,157.063,153.862
329,193.32,142.581,171.269,151.886,161.529,149.233,183.362,142.903,181.71,155.519,,152.142,157.595,203.715,198.576,156.877,154.343
330,193.027,142.408,171.11,152.297,161.83,149.814,182.549,142.657,181.651,155.841,,151.413,157.75,203.704,198.042,156.528,154.623
331,193.117,141.856,170.931,152.727,162.005,149.97,181.915,142.731,181.176,156.451,,150.738,157.613,204.074,197.511,155.946,154.458
332,193.147,142.063,170.534,153.518,162.087,149.643,181.291,142.891,180.55,156.884,,150.461,157.288,204.268,196.726,155.756,154.513
333,193.685,141.502,170.033,154.329,162.747,148.912,180.61,142.777,179.893,157.668,,150.865,156.762,203.573,195.617,155.238,154.322
334,194.074,141.974,169.673,155.254,162.871,148.449,179.799,142.848,179.045,158.028,,151.077,156.286,202.989,194.967,154.521,153.96
335,194.182,142.628,169.535,156.07,163.133,147.984,179.145,142.985,178.044,158.368,,151.297,155.965,202.701,194.711,153.801,153.672
336,194.221,142.389,169.245,156.836,163.592,147.316,178.771,143.043,177.102,158.912,,151.422,156.081,202.267,194.358,153.339,153.048
337,193.449,142.03,168.878,157.435,163.655,146.868,178.309,143.096,176.514,158.956,,151.568,156.76,202.284,194.095,153.263,152.883
338,192.779,141.749,169.033,158.127,163.582,146.724,178.499,143.134,176.184,159.115,,152.341,157.785,202.521,194.26,153.482,152.681
339,192.156,141.886,169.641,158.722,163.217,146.592,178.632,143.073,176.259,158.647,,153.067,158.58,202.743,194.522,153.387,152.676
340,192.191,142.294,170.308,159.763,162.902,146.565,178.837,143.077,176.135,157.972,,154.297,159.212,203.021,194.905,153.246,152.699
341,192.227,142.745,170.881,160.216,162.735,146.25,179.311,143.122,176.155,157.248,,155.42,160.223,203.186,195.223,153.32,152.768
342,192.39,142.565,171.901,160.43,162.631,146.21,179.39,143.302,176.238,156.615,,156.257,161.162,203.481,194.537,153.066,152.69
343,192.412,142.444,172.75,160.334,162.061,146.594,179.076,143.554,176.383,156.445,,156.624,162.31,203.967,194.386,152.978,152.765
344,192.461,142.654,173.356,160.202,161.514,146.816,178.851,143.902,176.626,156.176,,157.292,163.6,204.575,194.553,152.946,153.243
345,192.39,142.742,173.627,160.716,161.42,147.173,178.654,144.223,176.811,155.603,,157.589,164.082,205.369,194.902,153.053,153.767
346,192.199,142.323,173.779,161.361,161.717,147.922,178.405,144.354,177.196,155.341,,157.9,163.868,205.963,195.014,153.169,154.728
347,191.966,141.624,173.979,162.195,162.215,148.528,178.232,144.367,177.785,155.444,,157.68,159.266,206.65,194.953,153.22,155.463
348,191.417,140.591,173.936,162.98,162.612,148.88,178.295,144.595,178.11,155.623,,157.397,156.82,207.252,195.148,153.253,156.497
349,190.665,139.492,173.497,163.541,163.276,149.184,178.215,144.474,178.245,156.103,,157.435,,207.614,195.72,153.327,157.869
350,190.276,138.511,173.137,164.192,164.185,149.528,178.113,144.094,177.68,156.432,,157.601,,207.57,196.778,153.447,158.914
351,190.276,137.22,172.911,164.66,164.716,149.74,177.738,143.812,176.796,156.776,,158.054,,207.66,198.802,153.369,159.242
352,190.09,136.74,172.683,165.876,165.007,150.074,177.188,143.951,176.147,156.927,,158.24,,207.821,200.96,153.377,158.455
353,189.822,136.663,172.024,167.259,165.043,150.24,176.261,144.043,175.673,156.657,,158.057,,207.932,202.457,153.582,153.104
354,189.559,136.078,171.42,168.751,165.276,150.383,175.291,144.066,175.202,156.631,,157.639,,208.233,203.158,153.99,151.368
355,189.528,136.413,170.807,170.518,165.547,149.971,174.841,144.305,175.481,156.713,,157.509,,208.561,203.698,153.864,
356,189.356,137.007,170.378,172.599,165.594,149.23,174.523,144.671,177.297,156.322,,157.853,,209.294,203.447,153.524,
357,188.735,137.442,169.98,174.518,165.701,148.365,174.212,145.028,180.345,156.472,,158.339,,209.931,202.385,153.476,
358,188.11,137.789,169.393,175.443,165.595,148.534,174.098,145.318,183.354,156.178,,159.291,,210.451,195.966,153.429,
359,187.43,138.986,169.152,173.983,165.415,148.449,174.173,145.46,186.2,155.94,,160.284,,211.216,192.314,153.548,
360,187.406,140.585,168.942,169.049,164.929,149.135,174.55,145.75,188.749,156.229,,160.785,,211.845,,153.867,
361,188.28,142.62,169.443,164.315,164.269,149.856,175.311,145.829,190.627,156.011,,161.28,,211.984,,154.301,
362,190.037,144.674,170.857,,163.421,150.14,176.132,146.068,191.365,155.793,,162.194,,212.074,,155.415,
363,192.338,144.978,172.228,,163.07,149.212,177.115,146.682,190.505,155.353,,163.893,,210.352,,156.51,
364,194.155,144.714,173.87,,162.759,144.493,178.026,148.461,185.289,155.494,,165.765,,204.482,,157.93,
365,195.485,141.083,174.964,,162.853,143.222,179.004,150.467,181.563,156.674,,167.037,,201.525,,159.368,
366,196.004,137.486,175.654,,163.197,,179.459,152.506,,158.174,,167.017,,,,160.556,
367,195.609,,175.741,,163.327,,179.378,153.465,,159.497,,166.085,,,,160.756,
368,193.923,,175.354,,162.923,,178.064,152.53,,159.849,,164.671,,,,159.934,
369,190.287,,170.629,,156.84,,173.393,144.811,,154.101,,157.975,,,,154.819,
370,186.446,,168.151,,154.405,,170.539,141.16,,151.413,,154.686,,,,151.985,
