slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
45,148.558,128.178,137.71,135.066,170.139,149.84,145.654,139.58,157.6,147.175,158.829,111.667,116.793,145.932,146.782,156.861,150.561
46,149.08,129.204,137.869,135.322,169.169,149.928,145.909,139.146,157.778,148.63,159.701,111.342,117.159,146.45,147.129,157.819,150.727
47,149.071,129.609,138.038,135.93,169.254,149.805,145.863,138.797,157.877,149.972,160.69,110.613,117.318,147.611,147.484,158.635,150.652
48,149.301,129.62,138.413,136.867,169.138,149.802,145.279,138.5,157.315,151.634,161.703,109.807,117.788,147.301,148.13,159.065,150.801
49,149.281,130.799,138.39,138.029,168.803,149.782,144.866,138.26,156.951,152.425,162.689,109.894,117.766,147.574,148.783,159.539,150.944
50,149.665,131.368,138.54,139.139,168.798,150.032,144.734,138.234,156.466,153.605,163.822,110.078,117.961,146.439,149.234,160.35,151.294
51,150.226,131.407,138.11,140.02,169.079,150.135,144.589,138.225,156.007,155.505,164.754,110.594,118.169,146.135,149.081,161.167,151.789
52,150.612,131.035,137.579,140.707,170.111,150.295,144.872,138.678,155.829,157.857,165.62,111.686,118.03,146.298,149.596,161.471,152.107
53,150.891,129.892,137.135,141.894,171.529,150.419,145.374,139.194,155.356,159.015,166.906,112.649,117.903,147.368,149.177,161.502,152.468
54,150.918,128.827,136.946,142.66,172.7,150.567,145.818,139.713,154.432,158.289,168.321,114.078,118.166,148.64,149.204,161.939,153.021
55,151.269,128.068,137.074,143.434,173.261,150.622,146.848,140.341,153.92,159.19,169.463,114.925,118.304,150.392,149.252,162.26,153.332
56,151.617,129.612,137.498,143.904,173.892,150.841,148.313,141.019,153.477,159.709,170.027,115.581,118.481,151.372,149.407,162.808,153.51
57,152.106,132.013,137.973,144.223,174.17,151.049,149.708,141.424,153.035,160.079,170.393,116.243,119.013,152.474,149.474,163.751,153.908
58,152.504,133.3,138.408,144.285,175.473,151.447,150.955,141.988,152.788,160.269,170.653,116.406,119.516,153.234,149.435,164.304,154.55
59,152.738,133.18,138.704,144.279,176.915,152.259,152.029,142.233,153.079,160.101,170.622,115.595,120.126,153.212,149.447,164.679,155.201
60,153.209,134.831,138.765,144.421,177.951,152.754,152.862,142.401,153.545,160.104,171.066,115.419,120.601,153.862,149.581,164.317,155.649
61,153.848,136.518,139.153,144.495,179.293,153.202,153.656,142.56,154.285,160.272,171.436,115.888,120.965,154.981,149.88,164.066,156.137
62,154.428,137.439,139.468,144.556,180.75,153.16,154.185,142.729,154.46,160.862,171.937,116.109,121.533,155.773,150.65,163.974,156.384
63,154.386,138.535,139.837,144.544,181.907,152.894,154.654,142.617,154.562,161.007,172.574,116.232,122.535,156.299,150.988,163.853,156.707
64,154.178,139.138,139.962,144.519,182.993,152.821,155.379,142.523,154.485,160.924,173.07,116.301,123.343,156.858,150.575,164.366,157.003
65,154.216,138.617,140.106,144.758,183.159,153.066,155.51,142.591,154.359,161.159,173.062,116.1,123.888,157.492,149.592,164.572,157.182
66,153.861,137.381,140.122,145.191,183.643,153.438,155.633,142.869,154.207,161.412,172.995,116.574,124.396,157.369,148.959,164.39,157.369
67,153.776,136.831,140.355,145.464,183.602,153.358,155.924,143.124,153.74,161.624,172.475,116.455,124.72,157.303,148.266,164.229,157.63
68,153.251,136.556,140.34,145.836,184.004,153.131,156.252,143.126,152.952,162.562,172,116.13,125.133,157.319,148.241,164.24,157.979
69,152.763,135.673,140.249,146.263,184.058,153.16,156.507,143.367,152.428,163.105,171.786,115.956,125.528,157.485,148.214,164.626,157.918
70,152.018,135.221,140.02,146.909,184.001,152.789,156.39,143.396,152.256,164.049,171.916,115.696,125.545,157.503,148.634,164.616,157.689
71,151.017,135.117,139.686,148.271,183.92,152.375,156.357,143.445,152.286,165.323,172.071,115.282,125.559,157.45,149.412,164.668,157.463
72,150.222,135.484,139.637,149.246,184.089,152.004,156.116,143.462,152.244,166.453,172.602,115.154,125.573,157.708,150.326,164.657,157.132
73,149.51,136.638,139.723,150.042,183.864,151.631,156.247,143.281,152.232,167.243,173.215,115.625,125.405,158.489,151.032,164.933,157.139
74,148.92,138.336,140.026,151.06,183.43,151.005,156.495,142.944,152.276,168.273,173.964,116.496,124.931,158.813,152.004,164.753,157.524
75,149.056,140.159,140.235,151.453,181.921,150.786,156.921,142.637,152.05,169.208,174.723,117.331,124.655,159.517,152.924,164.782,157.992
76,149.484,141.751,140.664,151.75,180.722,150.444,157.3,142.449,152.261,169.913,175.476,117.855,124.734,159.743,153.938,164.819,158.022
77,149.847,142.529,141.204,152.265,179.555,150.12,157.528,142.332,152.469,170.708,176.106,118.331,124.725,159.635,155.239,164.694,158.416
78,150.226,142.905,141.505,152.997,177.986,149.812,157.929,142.465,152.606,171.586,176.42,118.726,124.774,159.943,156.539,164.846,158.654
79,150.744,143.771,141.601,153.547,176.982,150.043,158.151,142.69,152.918,172.426,176.518,119.125,124.986,160.395,157.344,164.561,159.216
80,151.486,145.004,141.701,154.115,176.07,150.403,158.107,142.926,153.192,172.928,176.293,119.674,125.441,160.868,158.407,164.615,159.567
81,152.275,145.914,141.727,154.813,175.71,150.446,158.256,143.061,153.18,173.467,176.011,120.08,125.774,161.303,158.755,164.401,159.897
82,153.518,146.83,141.616,155.041,174.805,151.176,158.309,143.144,153.573,173.522,176.143,120.269,126.668,161.835,158.773,164.674,160.395
83,154.818,146.739,141.473,154.984,173.829,152.102,158.5,142.955,154.168,173.401,176.201,120.586,127.583,162.314,158.787,165.276,160.496
84,156.102,146.272,141.283,154.746,173.311,152.605,159.029,142.83,154.539,173.731,176.411,120.982,128.395,162.359,158.942,165.823,160.248
85,157.488,145.386,141.566,154.275,173.204,152.615,159.402,142.776,154.828,173.847,176.276,121.654,128.877,162.54,158.807,165.901,159.751
86,158.191,143.857,141.737,153.903,172.882,152.498,159.703,142.988,154.699,174.131,176.459,122.44,129.221,162.854,159.183,165.854,159.676
87,158.46,142.599,141.584,153.912,172.466,152.303,159.722,143.126,154.584,174.549,176.812,122.829,129.297,163.148,159.595,165.874,159.779
88,158.341,140.417,141.304,154.199,172.164,152.194,159.564,143.063,154.55,174.481,177.077,123.286,129.506,163.443,160.31,166.451,159.915
89,158.671,139.377,141.222,154.225,172.135,151.968,159.306,143.113,154.822,175.065,177.703,123.434,129.711,163.89,160.761,166.969,160.162
90,158.683,138.765,141.08,154.526,172.075,151.826,159.334,143.052,155.651,175.239,178.419,123.811,130.082,164.18,161.085,167.453,160.735
91,158.302,137.613,141.349,154.57,171.854,151.516,159.488,142.917,156.227,175.425,179.088,124.004,130.416,164.42,160.954,168.068,160.961
92,157.862,137.805,141.274,154.899,171.631,151.493,159.555,142.878,156.953,175.766,180.02,124.495,131.256,163.975,160.954,168.909,160.926
93,157.191,138.377,141.416,155.633,170.989,151.179,159.683,142.838,157.733,175.867,180.668,124.972,132.099,163.762,161.181,169.28,161.008
94,156.439,139.234,141.552,156.093,170.861,150.762,159.627,142.712,158.082,176.238,181.484,125.212,132.914,163.57,161.477,170.063,160.934
95,155.541,140.383,141.64,156.71,170.672,150.517,159.595,142.596,158.464,176.998,182.379,125.217,133.481,163.28,161.955,170.08,161.07
96,155.011,141.099,141.849,157.283,170.575,150.464,159.653,142.322,158.67,177.234,183.2,124.877,134.094,163.709,162.728,169.89,160.933
97,154.691,141.627,141.931,157.829,169.857,150.311,159.685,142.493,158.745,177.692,183.812,125.03,134.3,164.192,163.708,169.511,161.03
98,154.441,141.624,142.323,158.45,169.557,150.266,159.609,142.548,158.884,177.858,183.736,125.24,134.791,164.56,164.379,169.632,161.18
99,154.696,141.587,142.908,158.76,169.418,150.362,159.897,142.458,158.949,177.856,183.637,125.568,135.544,165.001,164.719,169.738,161.05
100,155.189,142.337,143.249,158.79,169.403,150.722,160.183,142.36,159.09,177.674,183.516,126.03,136.234,165.396,165.708,170.27,160.912
101,155.569,142.568,143.758,158.412,169.098,151.071,160.46,142.523,159.269,177.888,183.348,126.684,136.94,165.768,166.814,171.187,160.706
102,156.249,143.295,144.219,157.861,168.873,151.307,160.797,142.715,159.66,177.891,183.225,127.622,137.62,165.84,167.54,171.875,160.444
103,156.845,143.538,144.707,157.167,168.725,151.174,161.04,142.632,159.865,177.829,183.193,128.443,138.713,166.514,167.942,172.421,159.872
104,157.912,143.408,145.103,156.409,168.913,151.281,161.082,142.666,159.828,177.856,183.083,129.399,139.276,167.151,168.315,172.192,159.826
105,158.81,142.864,145.469,155.671,168.577,151.593,161.164,142.751,160.099,177.559,183.036,130.288,139.837,167.518,168.701,171.721,159.671
106,159.328,142.149,145.809,154.733,167.972,151.74,161.317,142.732,160.395,177.327,183.231,131.061,140.189,168.049,169.206,171.504,159.805
107,159.5,141.512,146.148,153.688,167.837,151.912,161.566,142.547,160.565,177.061,183.705,132.168,140.342,168.7,169.894,171.224,159.823
108,160.081,141.124,146.467,152.881,167.667,151.594,161.458,142.357,160.376,176.618,184.322,132.839,140.255,169.787,170.581,171.66,159.66
