slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
176,195.4,221.564,206.816,179.503,167.233,185.194,170.03,185.014,154.165,184.679,173.018,182.681,169.223,171.152,206.997,200.167,168.842,170.615
177,195.883,224.041,206.157,179.781,167.285,185.569,169.998,184.95,154.374,185.46,173.487,182.25,169.778,170.525,206.876,200.959,168.642,171.063
178,196.486,226.782,205.998,179.997,166.961,185.827,169.734,185.105,154.527,186.487,174.052,181.892,170.233,170.005,206.605,201.386,168.409,171.459
179,197.133,229.622,206.179,180.317,166.416,185.112,169.704,185.425,154.518,187.472,174.111,181.571,170.612,169.746,205.847,201.681,168.439,171.773
180,197.511,232.697,206.497,180.428,165.917,183.938,169.562,185.632,154.584,188.213,173.844,181.294,170.948,169.793,205.072,201.682,168.174,171.925
181,197.474,235.729,207.234,180.391,165.451,182.967,168.99,185.842,154.518,188.739,173.368,181.216,171.174,169.999,204.205,201.693,167.799,171.854
182,197.223,238.48,207.87,180.242,164.798,182.224,168.732,186.264,154.45,189.366,172.765,181.158,171.399,170.234,203.581,201.879,167.206,171.691
183,196.836,241.037,209.077,179.967,164.192,181.526,168.849,186.776,154.397,190.21,172.721,181.262,171.681,170.468,203.482,201.976,166.964,171.618
184,196.472,242.953,209.278,179.713,163.784,180.7,168.969,187.286,154.319,190.661,173.077,181.447,171.698,170.979,203.575,202.05,166.688,171.297
185,196.648,244.675,210.258,179.483,163.57,179.738,169.451,188.081,154.413,191.085,173.5,181.497,171.31,171.12,203.535,202.039,166.64,170.828
186,197.22,246.571,211.184,179.24,163.531,179.227,169.523,188.835,154.567,191.209,173.999,181.137,170.834,171.236,203.582,202.163,166.936,170.164
187,197.945,248.27,211.822,179.432,163.409,178.851,169.552,189.461,154.797,191.094,174.67,180.968,170.365,171.327,203.856,202.119,167.143,169.604
188,198.426,249.903,212.146,179.85,163.426,179.028,169.864,190.028,154.891,190.721,174.901,181.185,170.17,171.455,204.403,202.421,167.25,169.351
189,198.64,251.087,212.847,180.334,163.959,179.601,170.081,190.363,154.803,189.99,174.463,181.283,170.51,171.601,204.932,202.553,167.236,169.4
190,198.667,252.08,213.575,180.92,164.084,180.004,169.728,190.499,154.642,188.958,174.393,181.362,171.121,171.771,205.62,202.833,167.011,169.505
191,198.345,253.065,214.077,181.507,164.157,180.107,169.294,190.575,154.761,187.932,174.68,181.215,171.451,172.075,206.216,203.321,166.966,169.78
192,198.079,254.102,214.052,182.161,164.375,180.5,168.964,190.416,154.671,187.198,174.762,180.858,171.804,172.515,206.593,203.833,167.174,170.198
193,197.944,255.021,213.624,182.531,164.912,180.793,168.492,190.243,154.451,186.437,174.677,180.821,172.248,172.866,206.782,204.087,167.268,170.467
194,197.555,255.43,213.075,182.678,165.242,181.314,167.974,190.317,154.236,186.086,174.719,180.683,172.394,173.376,206.645,204.023,167.501,170.515
195,196.849,255.233,212.256,182.875,165.495,181.676,168.228,190.421,154.122,186.006,174.799,180.123,172.779,173.8,206.204,203.995,167.81,170.749
196,196.404,254.955,211.737,183.097,165.604,181.879,168.47,190.427,153.809,186.055,175.112,179.673,173.184,174.164,205.782,203.926,167.584,170.909
197,196.375,254.554,211.326,182.946,165.639,181.99,168.232,190.496,153.556,186.08,175.482,179.343,173.708,174.318,205.728,204.171,167.213,170.802
198,196.989,253.972,210.996,182.633,165.834,182.157,168.136,190.349,153.414,186.071,175.536,178.986,174.195,174.357,205.77,204.142,167.154,171.18
199,197.403,253.261,210.527,182.411,166.022,182.428,168.283,190.123,153.472,185.935,175.829,178.349,174.277,174.319,205.57,204.071,167.201,171.594
200,197.808,252.605,210.274,182.258,166.128,183.142,168.399,189.67,153.526,185.817,175.862,177.771,174.141,174.157,205.787,204.023,166.919,171.749
201,198.246,251.821,210.585,181.919,165.927,183.532,168.429,189.323,153.475,185.579,176.078,177.25,174.011,173.761,206.279,203.804,166.837,171.882
202,198.713,251.028,210.98,181.371,165.847,183.495,168.675,188.873,153.52,185.197,176.023,176.992,173.615,173.435,207.145,203.717,166.476,172.227
203,199.039,250.104,211.229,180.857,165.543,183.695,169.738,188.625,153.362,184.713,176.134,176.776,173.376,173.04,208.33,203.533,166.052,172.445
204,199.003,248.96,211.86,180.746,165.353,183.739,170.966,188.598,153.123,184.196,176.189,177.032,173.316,172.938,209.616,203.7,165.547,172.688
205,199.085,247.85,212.053,180.753,165.418,183.359,171.836,188.709,152.92,183.567,176.138,177.249,173.59,172.914,210.701,203.912,165.011,173.153
206,199.187,246.868,212.167,180.972,165.241,183.094,172.435,188.944,152.99,182.602,176.032,177.73,173.805,172.928,211.491,204.217,164.782,173.661
207,199.459,245.747,212.118,181.077,164.838,182.611,172.702,189.292,153.213,181.838,175.972,178.271,174.012,172.763,211.996,204.511,164.65,173.907
208,200.022,244.385,211.872,181.201,164.282,182.266,172.829,189.644,153.073,181.526,175.445,178.644,174.093,172.909,212.026,204.449,164.478,174.011
209,200.187,242.562,212.202,181.2,163.554,182.221,173.133,190.032,152.929,181.458,175.094,178.842,174.243,173.101,211.955,204.551,164.399,173.861
210,200.192,240.405,212.221,180.888,163.042,182.605,172.952,190.379,152.974,181.156,175.225,178.769,174.689,173.189,211.78,204.947,164.642,173.547
211,200.237,238.11,212.033,180.74,162.695,183,172.444,190.646,152.919,180.905,175.107,178.551,175.391,172.869,211.704,205.427,164.895,173.295
212,200.301,235.539,211.129,180.972,162.176,183.617,172.281,190.965,152.523,181.081,174.968,178.361,176.001,172.769,211.34,205.579,165.263,173.107
213,200.147,233.154,209.985,181.265,162.276,183.835,172.368,191.346,152.186,181.087,175.061,178.165,176.559,172.913,210.73,205.181,165.742,172.792
214,200.106,230.886,208.318,181.709,162.426,183.671,172.353,191.896,151.783,181.057,175.41,177.971,177.099,173.283,210.161,204.382,166.411,172.047
215,199.57,228.571,206.865,182.001,162.139,183.486,172.555,192.254,151.406,181.299,175.666,178.029,177.603,173.408,210.141,203.836,166.733,171
216,199.102,226.059,205.836,182.197,161.63,183.275,172.725,192.307,151.073,181.747,175.836,177.809,178.294,173.43,210.566,203.545,166.528,169.853
217,198.879,223.529,204.949,182.422,161.481,183.152,172.727,192.306,150.667,182.402,176.116,177.917,178.934,173.419,211.112,203.618,166.211,168.799
218,198.836,220.48,204.446,182.626,161.535,183.135,173.233,192.176,150.203,182.531,176.271,178.133,179.305,173.523,211.419,203.801,165.778,168.256
219,198.737,217.005,204.312,182.655,161.523,183.564,174.125,191.971,149.975,182.439,176.351,178.031,179.45,173.995,211.637,204.183,165.069,168.097
220,198.636,213.421,203.861,182.477,161.178,183.842,174.85,191.983,149.91,182.262,176.43,178.362,179.208,174.445,211.878,204.299,164.489,168.019
221,198.428,210.046,203.487,182.335,161.409,183.981,175.488,192.02,149.778,181.973,176.686,178.938,179.195,174.781,212.14,204.508,163.864,167.756
222,198.285,206.688,203.389,182.031,161.978,184.139,176.544,191.883,149.803,181.711,176.652,179.346,179.344,174.956,212.393,204.706,163.303,167.572
223,197.908,203.362,203.25,181.699,162.27,184.011,177.491,192.02,149.838,181.161,176.677,180.196,179.62,174.89,212.805,205.124,163.254,167.451
224,197.75,200.089,203.595,181.16,162.39,184.019,177.703,192.328,149.912,181.088,176.302,180.823,179.83,175.355,213.317,205.655,163.384,167.237
225,198.129,196.833,204.128,180.532,162.357,183.982,177.566,192.75,150.144,180.861,175.838,181.325,180.354,175.692,213.606,206.396,163.648,166.693
226,198.854,193.777,204.561,180.037,161.843,184.436,177.058,193.588,150.39,180.458,175.623,181.503,181.064,175.563,213.464,207.023,164.155,166.12
227,199.6,190.867,204.466,179.777,161.324,185.423,176.296,194.419,150.419,180.011,175.412,181.838,181.695,175.768,213.292,207.632,164.764,165.931
228,200.526,188.11,203.999,180.023,161.182,186.258,175.591,195.149,150.395,180.279,174.936,181.887,182.465,176.274,213.035,208.417,165.337,165.862
229,201.147,185.516,203.394,180.513,161.31,187.086,174.646,196.021,150.219,180.699,174.579,182.001,183.145,176.796,212.662,209.489,165.672,165.804
230,201.711,183.139,203.197,180.923,161.251,187.771,173.753,196.826,150.025,181.032,174.421,181.861,183.457,176.767,212.179,210.225,165.868,165.832
231,201.951,180.901,202.948,181.439,160.867,188.191,172.863,197.625,149.782,181.328,174.372,181.766,183.811,176.868,211.955,210.709,165.687,165.977
232,201.966,178.948,201.886,182.032,160.243,188.429,172.618,198.016,149.192,181.728,174.452,181.76,183.951,177.006,211.855,211.224,165.369,166.278
233,202.082,176.77,200.632,182.608,159.522,188.675,172.647,198.307,148.763,182.337,174.274,181.686,184.086,176.876,211.767,211.671,165.067,166.699
234,202.009,174.709,199.261,183.032,159.51,188.59,172.537,198.39,148.653,182.743,174.058,181.689,184.465,176.823,211.726,211.745,165.036,166.943
235,202.088,173.021,198.362,183.208,159.668,188.302,172.781,198.566,148.55,183.003,173.954,181.774,184.773,176.673,211.794,211.531,164.874,167.462
236,201.911,171.432,197.529,183.266,160.042,188.174,172.992,198.645,148.339,183.665,174.363,181.835,184.621,176.269,212.347,211.124,164.621,168.28
237,201.758,169.551,196.494,183.134,160.607,187.959,173.527,198.95,148.17,184.527,174.957,182.188,184.584,175.785,212.989,210.775,164.291,168.821
238,201.569,167.684,195.559,182.952,161.007,187.371,174.015,199.173,148.103,185.212,175.605,182.393,184.745,175.267,213.558,210.481,164.439,169.226
239,201.346,166.008,194.956,182.824,160.869,186.937,174.022,199.183,148.326,185.552,176.112,182.324,185.395,175.095,213.913,210.545,164.494,169.47
240,201.137,164.095,194.735,182.449,160.672,186.511,174.137,199.104,148.476,186.199,176.68,182.337,186.573,175.065,214.242,210.958,164.743,169.826
241,200.806,162.242,194.668,182.128,160.232,186.346,173.893,199.211,148.489,186.582,176.964,182.359,187.431,175.51,214.561,211.477,165.036,170.257
242,200.402,160.479,195.182,182.044,159.438,186.438,173.649,199.326,148.85,187.212,177.038,182.264,188.338,175.697,214.621,211.86,165.367,170.473
243,200.035,158.818,195.392,182.061,158.928,186.602,173.028,199.274,149.232,187.784,176.942,182.344,189.151,175.708,214.674,212.725,165.833,170.416
244,199.699,156.869,195.305,182.134,158.81,186.742,172.305,199.213,149.298,188.548,176.326,182.508,189.604,175.671,214.825,213.82,166.484,170.184
245,199.428,155.087,195.331,182.447,158.893,186.653,171.79,199.267,149.186,189.219,175.85,183.051,189.665,175.564,214.982,214.913,166.928,170.012
246,199.421,153.616,195.15,183.086,158.732,186.953,171.41,199.071,148.982,189.474,175.696,183.539,189.481,175.619,215.054,215.692,167.043,170.293
247,199.672,152.055,195.245,183.667,158.85,187.657,171.282,199.151,148.664,189.735,175.145,184.089,189.422,175.873,215.138,216.137,167.081,170.531
248,199.939,150.876,194.868,184.23,159.17,188.265,171.212,199.042,148.12,189.744,174.351,184.299,188.974,176.178,215.086,216.565,167.241,170.58
249,200.311,150.037,194.627,184.352,159.444,189.301,170.98,199.397,147.563,189.352,173.929,184.156,188.513,175.826,214.936,216.774,167.569,170.676
250,200.553,149.81,194.239,184.686,159.586,190.052,170.736,199.806,147.293,189.333,173.421,183.937,188.383,175.351,214.768,216.746,167.729,171.039
251,200.812,149.272,194.023,184.906,159.318,190.724,171.019,200.639,147.16,189.4,173.109,183.584,188.382,175.062,214.599,216.813,167.497,172
252,201.267,148.505,193.7,185.069,158.72,191.51,171.321,201.306,147.151,189.816,172.745,183.685,188.09,174.731,214.505,216.896,167.005,173.152
253,201.778,147.826,193.225,185.208,158.191,191.973,171.428,201.613,147.134,190.205,172.602,183.674,187.977,174.423,214.413,217.041,166.784,174.097
254,202.151,147.594,192.87,185.316,157.753,192.506,171.521,201.657,146.99,190.617,172.196,183.652,187.557,174.306,214.211,217.173,166.442,174.872
255,202.42,147.4,192.385,185.228,157.32,192.946,171.815,201.514,147.057,190.993,172.327,183.726,186.783,174.178,214.23,216.914,166.27,175.205
256,202.552,147.224,191.252,185.063,156.985,193.125,171.948,201.472,147.318,191.302,172.585,183.486,185.472,174.074,214.538,216.791,166.183,175.353
257,202.632,147.458,190.29,184.693,156.879,192.619,172.361,201.095,147.687,191.371,172.721,183.165,184.269,174.054,215.165,216.284,166.176,175.419
258,202.565,147.86,189.585,184.469,156.911,191.854,172.667,200.973,148.194,191.765,173.173,183.103,183.499,173.923,215.587,215.768,166.089,175.591
259,202.447,148.69,189.019,184.394,156.988,191.542,172.799,200.685,148.511,192.368,173.499,183.113,183.152,173.879,215.868,215.103,166.181,175.724
260,202.273,149.714,188.01,184.441,157.129,191.15,172.551,200.655,148.746,193.141,173.822,183.165,182.893,173.634,216.36,214.32,166.236,175.604
261,201.817,150.127,187.415,184.686,157.246,190.902,172.243,200.694,148.874,193.529,173.312,183.283,182.468,173.465,217.069,213.887,166.265,175.552
262,201.319,150.365,187.278,184.954,157.374,190.862,171.581,200.45,148.88,193.954,172.846,183.627,182.287,173.387,217.374,213.644,166.376,175.506
263,200.921,149.999,187.009,185.177,157.219,190.519,170.932,199.962,148.934,194.71,172.815,184.336,182.29,173.018,217.422,213.388,166.479,175.698
264,200.543,149.45,186.756,185.22,157.341,190.205,170.651,199.493,149.184,195.271,172.772,184.622,181.815,172.995,217.33,213.307,166.488,176.192
265,200.511,149.176,186.649,185.533,157.161,190.025,170.573,199.226,149.271,195.371,172.777,184.845,181.204,173.135,217.795,213.26,166.587,176.816
266,200.47,148.862,186.098,185.776,156.841,189.893,170.149,198.964,149.368,195.061,173.08,184.934,180.612,173.245,218.232,213.444,166.296,177.047
267,200.214,148.555,185.104,185.935,156.396,190.023,169.451,198.651,149.45,194.62,173.2,184.829,180.083,173.061,218.668,213.567,165.959,176.996
268,199.877,148.186,183.875,186.298,156.02,190.417,168.86,198.767,149.723,194.468,173.621,184.677,179.238,172.926,219.049,213.594,165.618,176.87
269,199.678,147.608,182.995,186.559,155.8,190.401,168.451,199.316,149.661,194.569,173.907,184.334,178.116,172.418,219.877,214.115,165.344,176.527
270,199.802,146.807,182.548,186.66,155.221,189.919,168.113,199.916,149.648,194.79,173.649,184.171,176.974,171.975,220.777,214.493,165.294,176.13
271,200.053,146.155,181.832,186.692,154.639,189.557,167.723,200.403,149.911,194.985,173.373,183.661,175.936,171.695,221.542,214.824,165.12,175.579
272,200.081,145.68,181.571,186.853,154.145,188.695,167.134,200.688,150.074,195.25,173.771,183.333,175.476,171.53,222.023,215.257,165.036,174.921
273,200.369,145.496,181.533,186.988,153.945,188.003,166.659,200.939,150.299,195.368,173.656,182.79,175.042,171.294,222.564,215.517,165.18,174.433
274,200.79,145.164,181.254,187.133,153.876,187.171,166.532,201.083,150.493,195.291,173.369,181.935,174.829,171.498,222.807,215.777,165.216,174.224
275,201.026,145.094,181.518,187.258,153.59,186.666,166.877,201.143,150.474,195.003,173.001,181.482,174.259,171.662,223.148,216.551,165.456,173.854
276,201.317,145.043,182.198,187.38,153.357,186.233,167.154,200.989,150.397,194.773,172.524,181.365,173.413,171.447,222.961,217.727,165.789,172.95
277,201.547,144.902,182.955,187.273,153.207,186.029,167.11,201.002,150.31,194.479,171.952,181.52,173.254,171.073,222.459,219.071,166.244,172.064
278,201.563,144.841,183.347,187.115,153.012,185.883,166.816,200.983,150.388,194.267,171.192,181.661,173.686,170.629,221.995,220.455,166.422,171.315
279,201.208,144.282,183.409,187.035,152.861,185.989,166.58,200.775,150.535,194.517,170.525,182.292,173.996,170.507,221.855,221.682,166.561,170.388
280,200.573,143.046,182.83,186.944,152.939,185.78,166,200.335,150.646,194.198,169.652,183.41,175.319,170.449,221.669,222.73,166.701,169.372
281,199.99,141.443,181.947,186.932,153.05,185.704,165.751,199.75,150.583,193.94,168.805,184.194,176.419,170.504,221.669,223.164,166.931,168.229
282,200.171,139.738,180.33,186.823,153.033,186.235,165.147,199.101,150.459,193.615,167.819,185.005,176.641,170.45,221.707,223.651,167.026,167.465
283,200.832,138.104,178.361,186.533,153.224,186.963,164.481,198.515,150.328,193.368,166.836,185.394,176.233,170.332,221.378,223.24,166.875,167.085
284,201.674,136.944,176.643,186.504,153.452,187.429,163.809,198.194,150.29,193.071,166.195,185.639,175.749,170.674,220.875,222.926,166.555,167.073
285,202.362,136.132,174.717,186.481,153.669,187.534,162.648,197.678,150.331,192.841,165.99,185.166,175.336,171.259,220.346,222.281,166.165,167.165
286,203.169,135.603,172.787,186.256,154.155,187.587,161.451,197.345,150.634,192.407,165.973,184.357,175.493,171.801,220.344,221.963,166.061,166.975
287,203.835,134.978,171.376,186.17,154.781,187.144,160.764,197.118,150.8,192.24,166.041,183.688,176.242,172.162,220.866,221.697,166.091,166.831
288,204.43,135.098,170.341,186.057,155.013,186.288,159.821,197.062,151.129,192.021,165.9,183.15,176.835,171.837,221.315,221.433,165.983,166.84
289,204.998,135.161,169.567,185.645,155.24,185.338,158.788,197.349,151.363,191.89,165.857,183.069,176.627,171.476,221.8,220.959,165.669,167.034
290,205.229,134.856,168.684,185.265,155.263,184.6,158.062,197.795,151.491,191.887,166.309,183.104,175.428,171.243,222.165,220.952,165.576,167.177
291,205.359,134.33,168.166,185.205,155.462,184.095,157.407,198.007,151.703,192.04,166.601,183.229,174.579,170.828,222.599,221.118,165.537,167.154
292,205.616,134.074,167.409,185.233,155.796,183.909,156.922,198.131,151.995,192.37,166.95,183.116,174.159,170.437,222.702,221.01,165.691,167.26
293,206.05,133.588,166.142,185.227,156.347,184.132,156.966,198.372,152.548,193.05,166.831,182.939,173.898,170.083,222.795,220.687,165.968,167.593
294,206.236,133.275,165.058,185.318,156.678,184.413,157.247,198.737,152.71,193.8,166.429,183.005,174.315,169.605,223.03,220.344,166.286,167.682
295,206.753,133.373,164.227,185.472,156.868,184.75,157.84,198.962,152.725,194.558,166.274,183.295,175.161,168.949,223.061,220.213,166.571,167.613
296,207.511,133.921,163.637,185.673,157.365,184.841,158.438,198.738,152.593,195.41,166.317,183.611,176.039,168.468,222.799,219.973,166.984,167.407
297,208.237,134.792,163.45,185.663,157.813,184.985,159.017,198.42,152.44,196.687,166.307,184.092,176.208,167.972,222.592,219.832,167.024,167.017
298,208.542,135.534,162.968,185.64,158.326,185.191,159.254,198.108,152.083,197.676,166.165,184.547,175.831,167.73,222.293,219.635,166.992,166.62
299,208.651,135.843,162.303,185.982,158.961,185.409,159.559,197.846,151.937,198.321,165.931,184.807,175.577,167.749,221.92,219.788,166.908,166.681
300,208.406,136.022,161.505,186.323,159.878,185.449,159.889,197.583,151.757,198.713,165.65,185.041,175.198,167.9,221.824,220.204,166.902,166.945
301,208.034,136.425,160.654,186.877,160.494,185.14,160.416,197.091,151.58,199.088,165.608,185.069,175.091,168.274,221.833,220.781,167.013,167.456
302,207.58,136.72,159.848,187.304,160.701,184.215,160.794,196.546,151.609,199.74,165.538,184.994,174.319,168.372,222.124,220.94,167.464,167.921
303,207.133,136.915,159.327,187.436,160.878,183.091,160.615,195.967,151.853,200.122,165.565,185.037,173.628,168.548,222.494,221.197,167.883,168.338
304,206.865,136.762,158.485,187.506,160.598,181.877,160.243,195.459,152.227,200.063,165.544,184.806,172.807,168.673,222.679,221.625,168.158,168.675
305,206.663,135.953,157.551,187.457,160.52,180.973,160.037,194.714,152.529,199.757,165.763,184.735,172.463,168.608,223.016,221.965,168.428,168.946
306,206.783,134.858,156.903,187.054,160.431,180.247,159.505,194.106,152.702,199.345,166.102,184.692,172.297,168.188,223.271,221.856,168.469,168.844
307,207.213,133.558,156.767,186.679,160.421,179.86,159.233,194.171,152.795,199.053,166.454,184.869,171.449,167.957,223.525,221.572,168.639,168.819
308,207.467,132.981,156.705,186.254,160.403,179.802,158.758,194.66,152.591,198.596,166.579,184.803,170.085,167.884,223.61,221.614,168.78,168.33
309,207.785,133.007,156.824,186.019,160.604,180.166,158.695,195.138,152.733,198.14,166.613,184.829,168.396,167.986,223.454,221.413,168.832,167.927
310,208.641,133.352,156.665,185.659,161.051,180.716,158.843,195.835,152.97,197.438,166.473,184.938,167.097,168.034,223.191,221.132,168.566,167.285
311,209.624,133.67,156.696,185.408,161.327,181.024,159.182,196.516,153.373,196.827,166.76,185.334,165.864,168.119,222.687,221.111,168.381,166.649
312,210.091,134.134,156.21,185.425,161.309,181.118,159.682,197.223,153.663,196.53,167.156,186.013,165.13,168.412,222.405,220.984,168.459,166.352
313,210.633,134.836,156.509,185.589,160.979,180.763,160.197,198.022,153.907,196.21,167.235,187.3,164.456,168.593,222.111,221.184,169.061,166.104
314,211.114,135.696,156.909,185.709,160.816,180.292,160.776,198.701,154.121,196.054,167.178,189.241,164.169,168.67,221.804,221.653,169.565,165.841
315,211.428,136.54,156.565,185.672,160.775,179.763,161.44,199.235,154.254,195.843,167.395,191.112,164.7,168.89,221.595,221.663,169.843,165.693
316,211.696,137.082,156.213,185.457,161.009,178.732,161.925,199.344,154.353,195.256,167.617,192.999,164.768,169.049,221.445,221.822,169.928,165.324
317,211.734,137.351,156.011,185.416,161.472,177.72,162.337,199.342,154.318,194.884,168.056,194.573,164.903,168.832,221.246,221.605,170.28,165.476
318,211.774,137.776,156.087,185.392,162.311,176.697,162.334,199.613,154.278,194.715,168.272,195.393,164.849,168.788,220.826,220.921,170.657,165.611
319,211.905,138.313,156.425,185.566,163.118,175.915,162.217,199.97,154.246,194.641,168.506,195.337,164.953,169.18,220.697,220.144,170.504,165.552
320,212.384,138.517,156.577,185.789,164.053,175.723,162.22,200.086,154.442,194.864,168.639,194.544,165.62,170.021,220.627,219.225,170.029,165.993
321,212.489,138.936,156.288,185.859,164.471,176.031,162.669,199.9,154.671,195.196,169.056,188.454,166.311,170.663,220.723,218.511,169.501,166.624
322,212.5,139.607,156.003,185.936,165.039,176.042,162.92,199.33,154.976,195.522,169.598,185.161,167.623,170.992,220.97,217.95,169.116,167.042
323,212.114,140.716,156.304,186.003,165.529,176.405,162.897,198.576,155.367,196.144,170.206,,169.015,171.126,221.146,217.472,168.487,167.302
324,211.597,141.898,156.368,185.753,166.229,177.19,162.674,197.878,155.561,196.816,170.933,,169.941,171.155,220.66,216.752,167.758,167.746
325,210.945,143.197,155.9,185.35,167.033,177.718,162.218,197.334,155.631,197.104,171.254,,170.228,171.363,220.005,215.795,167.027,168.011
326,210.288,144.717,155.237,184.836,168.025,177.867,162.195,196.724,155.517,197.02,171.502,,170.712,171.918,219.432,215.126,166.551,168.027
327,209.84,146.072,154.275,184.639,168.904,178.08,162.272,196.04,155.595,196.623,172.069,,171.171,172.415,219.123,214.637,166.45,168.225
328,209.664,147.17,153.129,184.44,169.73,178.161,162.492,195.207,155.768,196.116,172.239,,171.506,172.526,218.935,214.117,166.53,168.117
329,209.463,148.654,152.145,184.018,170.419,178.023,162.993,194.636,155.76,195.562,172.23,,171.491,172.751,219.039,213.285,166.534,167.781
330,209.261,150.411,151.075,183.636,171.094,177.764,163.483,194.307,155.797,194.74,171.579,,171.175,172.95,219.22,212.488,166.403,167.413
331,209.161,151.887,150.372,183.282,171.759,177.413,163.691,193.953,155.901,193.659,170.877,,171.227,172.816,219.581,211.866,166.401,166.881
332,209.131,153.569,149.996,183.174,172.654,177.189,163.492,193.965,155.957,192.643,170.208,,171.472,172.508,219.807,211.483,166.185,166.578
333,209.54,154.775,149.422,183.015,173.21,177.064,162.743,194.158,155.969,192.06,169.709,,171.87,171.825,220.01,211.118,166.132,166.377
334,209.849,155.78,149.658,182.825,173.382,176.401,162.225,194.402,155.914,191.756,169.553,,172.084,171.322,220.366,210.866,166.175,166.403
335,209.89,157.563,150.338,182.972,173.263,175.846,161.704,194.702,155.821,191.607,169.253,,172.251,170.997,221.007,210.836,166.189,166.25
336,209.878,159.44,150.743,183.49,173.167,175.73,161.064,194.559,155.79,191.209,168.622,,171.816,171.167,221.834,211.119,166.1,166.162
337,209.436,160.89,151.049,184.152,173.641,176.006,160.66,194.186,155.818,191.021,168.433,,171.59,171.829,222.526,211.488,166.023,165.917
338,208.849,161.6,152.465,184.743,174.241,176.456,160.816,193.958,155.984,190.906,168.893,,171.973,172.869,223.165,211.734,165.965,165.898
339,208.38,161.933,154.474,185.676,175.087,177.064,160.851,193.658,156.221,191.055,169.388,,172.618,173.647,223.924,211.448,166.149,166.242
340,208.467,161.497,156.393,186.513,176.003,177.823,160.743,193.307,156.582,191.366,169.883,,173.759,174.49,224.328,211.259,166.116,166.882
341,208.649,161.038,158.111,187.123,176.822,178.674,160.452,193.189,156.983,191.673,170.1,,174.706,175.524,224.412,211.411,165.979,167.807
342,208.868,161.18,158.424,187.362,177.546,179.236,160.408,193.164,157.114,191.961,170.433,,175.332,176.658,224.594,211.711,166.027,168.917
343,209.01,160.982,157.916,187.396,178.182,179.572,160.637,193.125,157.193,192.468,170.653,,175.876,177.85,224.687,211.772,166.24,170.173
344,209.081,161.624,153.514,187.448,179.429,179.818,160.907,192.948,157.487,192.662,170.423,,176.701,179.125,224.752,211.937,166.518,171.629
345,208.984,162.834,149.673,187.419,181.048,180.08,161.383,192.557,157.385,192.801,170.311,,178.459,179.733,225.065,212.373,166.419,172.654
346,208.715,164.842,,187.093,182.859,180.279,162.193,191.997,157.009,192.38,170.028,,180.354,179.13,225.705,213.209,166.123,172.963
347,208.362,167.22,,186.769,184.764,180.402,162.783,191.182,156.791,191.853,169.515,,181.599,173.929,226.579,214.501,166.21,172.252
348,207.86,170.357,,186.565,186.777,180.5,163.045,190.324,156.81,191.337,169.556,,181.717,170.885,227.522,216.356,166.338,167.027
349,207.083,173.894,,186.45,188.579,180.315,163.163,189.863,156.834,190.92,169.313,,180.795,,228.086,218.378,166.405,163.972
350,206.627,177.048,,185.878,189.384,179.896,163.257,189.502,156.929,190.862,169.069,,178.916,,228.871,220.05,166.799,
351,206.383,180.109,,185.335,187.675,179.214,163.521,189.329,157.145,191.636,169.308,,171.935,,229.297,220.792,167.339,
352,206.223,183.321,,184.87,182.458,178.663,163.967,189.308,157.484,193.65,169.32,,168.022,,229.404,221.104,168.447,
353,205.905,186.022,,184.361,177.675,177.931,164.1,189.446,157.881,196.872,169.317,,,,228.851,220.764,169.596,
354,205.804,188.376,,183.991,,177.635,164.302,189.86,158.198,200.149,169.196,,,,226.939,219.411,171.091,
355,205.709,189.623,,183.595,,177.444,164.013,190.607,158.255,203.175,169.505,,,,221.494,213.39,172.576,
356,205.537,189.306,,183.262,,177.562,163.307,191.433,158.511,205.547,170.78,,,,218.639,209.569,173.658,
357,205.011,184.553,,183.147,,177.69,162.369,192.41,158.806,206.919,172.228,,,,,,173.816,
358,204.32,181.119,,183.779,,177.501,162.499,193.341,159.282,207.343,173.335,,,,,,172.67,
359,203.922,,,185.239,,176.706,162.628,194.11,160.194,206.556,173.236,,,,,,167.527,
360,204.074,,,186.782,,171.103,163.398,194.472,162.173,201.128,167.743,,,,,,164.451,
361,204.965,,,188.339,,167.779,164.083,193.989,164.355,197.637,164.621,,,,,,,
362,206.845,,,189.475,,,164.388,192.642,166.308,,,,,,,,,
363,209.069,,,190.058,,,163.261,188.049,167.157,,,,,,,,,
364,211.07,,,189.851,,,158.153,185.013,165.729,,,,,,,,,
365,212.27,,,189.072,,,156.04,,157.637,,,,,,,,,
366,212.778,,,184.283,,,,,153.686,,,,,,,,,
367,212.544,,,181.548,,,,,,,,,,,,,,
368,211.065,,,,,,,,,,,,,,,,,
369,206.318,,,,,,,,,,,,,,,,,
370,202.827,,,,,,,,,,,,,,,,,
