slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
42,162.839,155.241,152.641,149.867,151.852,184.033,161.046,159.259,152.491,171.566,169.642,171.516,127.329,127.173,159.181,159.933,174.405,163.723
43,162.764,155.907,153.389,150.24,152.788,184.769,161.485,158.904,152.087,171.496,171.853,172.262,127.66,128.091,159.695,160.071,174.484,163.744
44,162.657,156.613,152.757,150.451,153.459,186.135,162.346,158.783,151.772,171.078,173.202,172.684,127.975,128.666,160.901,160.444,174.926,163.909
45,162.965,157.333,151.686,150.929,154.396,187.275,163.388,158.694,151.42,170.647,172.883,173.112,127.846,128.974,162.339,161.001,175.402,164.21
46,163.123,158.379,151.157,151.068,155.238,187.973,163.307,158.951,151.269,170.145,173.799,174.092,127.898,129.179,163.954,161.577,175.862,164.705
47,163.287,159.84,150.677,151.092,156.212,188.496,162.762,159.457,151.234,169.831,174.427,175.501,127.705,129.387,165.424,161.967,176.645,165.178
48,163.408,160.99,149.995,150.701,156.974,188.98,162.423,160.138,151.665,169.56,174.788,176.679,127.849,129.875,166.821,161.983,177.087,165.473
49,163.632,161.573,149.334,150.136,157.335,190.502,162.633,161.174,152.249,169.073,174.894,177.753,127.837,129.915,167.649,162.411,177.398,166.033
50,164.166,161.88,149.092,149.608,157.379,192.211,162.924,162.592,152.814,168.386,174.746,178.744,127.727,129.991,167.961,162.64,177.228,166.488
51,164.565,162.413,149.533,149.406,157.259,193.307,163.217,163.868,153.43,167.945,174.572,179.683,127.542,130.193,168.221,162.815,177.049,166.676
52,164.803,162.845,150.789,149.573,157.189,194.535,163.828,164.992,154.116,167.512,174.751,180.655,127.254,130.129,168.742,162.603,177.068,167.178
53,165.261,162.997,152.325,149.982,157.102,196.028,163.865,166.05,154.577,166.98,175.397,181.83,126.97,130.094,169.402,162.908,177.112,167.816
54,165.568,163.015,153.762,150.516,156.99,197.256,163.915,166.859,155.188,166.651,175.684,182.894,126.64,130.27,170.179,163.219,177.472,168.48
55,166.07,163.475,154.668,150.86,156.851,198.24,164.138,167.578,155.566,167.011,175.758,184.059,126.871,130.439,170.775,163.485,177.7,169.135
56,166.356,164.429,155.456,151.155,156.863,198.429,164.355,168.138,155.713,167.467,175.921,184.983,127.451,130.605,171.372,163.376,177.508,169.483
57,166.877,165.257,156.046,151.249,157.037,198.942,164.634,168.625,155.884,168.034,176.046,185.503,128.242,131.163,171.39,163.379,177.235,169.905
58,167.391,165.934,156.875,151.618,157.433,199.028,165.107,169.284,156.01,168.203,176.382,185.742,129.015,131.617,171.393,163.747,177.223,170.194
59,167.827,166.622,158.632,151.971,157.766,199.362,165.95,169.536,156.007,168.259,177.224,185.765,129.592,132.188,171.473,164.343,177.545,170.471
60,168.415,167.417,159.536,152.276,158.096,199.675,166.401,169.605,155.929,168.156,177.875,186.109,130.007,132.854,171.667,164.651,177.661,170.691
61,169.04,167.868,160.861,152.401,158.496,199.581,166.831,169.85,155.994,167.968,178.926,186.482,130.651,133.423,171.85,164.466,177.706,170.96
62,169.621,168.1,160.76,152.527,159.201,199.595,166.886,170.076,156.21,167.917,180.19,187.081,131.193,134.315,171.851,163.387,177.889,171.18
63,169.494,168.179,160.011,152.677,160.463,199.842,166.651,170.291,156.462,167.415,181.358,187.714,131.535,135.206,172.02,162.522,178.283,171.479
64,169.208,168.572,158.919,152.886,161.526,199.668,166.319,170.307,156.481,166.825,182.234,188.25,131.636,136.039,172.386,161.974,178.219,171.406
65,169.074,169.025,157.079,152.967,162.384,199.204,166.327,170.332,156.584,166.41,183.182,188.101,131.978,136.565,172.792,161.772,178.126,171.173
66,168.677,169.057,155.372,152.85,163.564,198.076,166.54,170.22,156.761,166.173,184.293,187.843,132.398,137.026,173.565,161.76,178.163,170.876
67,168.416,169.025,153.453,152.569,163.866,197.032,166.459,170.494,156.759,166.055,185.029,187.246,133.135,137.372,173.944,162.007,178.22,170.626
68,167.817,169.19,152.26,152.22,164.146,195.836,166.277,170.747,156.791,166.044,186,186.678,133.968,137.853,174.014,162.677,178.161,170.648
69,167.209,169.25,151.489,152.17,164.633,194.46,166.369,171.144,156.654,165.996,186.956,186.451,134.342,138.239,174.398,163.588,178.04,170.978
70,166.329,169.226,150.475,152.322,165.476,193.129,166.172,171.454,156.347,165.772,187.48,186.572,134.676,138.183,174.957,164.286,178.109,171.372
71,165.288,169.411,150.801,152.542,166.074,191.946,165.872,171.657,156.047,165.445,187.845,186.715,134.723,138.031,175.514,165.255,178.115,171.371
72,164.522,169.9,151.635,152.775,166.691,191.349,165.527,171.92,155.86,165.599,188.305,187.262,134.876,137.94,175.907,166.341,178.455,171.586
73,163.937,170.159,152.545,153.169,167.478,190.393,165.204,172.134,155.692,165.958,188.396,187.896,135.148,137.853,176.212,167.577,178.979,172.004
74,163.551,170.427,153.524,153.679,167.77,189.415,164.682,172.188,155.679,166.148,188.541,188.674,135.667,137.478,176.509,169.055,179.358,172.632
75,163.58,170.597,154.249,153.938,167.779,188.634,164.464,172.361,155.918,166.316,188.64,189.434,136.378,137.306,176.613,170.443,179.096,173.112
76,163.963,170.696,155.01,154.19,167.778,188.197,163.978,172.54,156.121,166.692,188.82,190.117,136.749,137.4,176.757,171.335,178.929,173.584
77,164.299,170.727,155.349,154.174,167.186,187.896,163.541,172.775,156.286,166.836,189.282,190.764,136.767,137.542,177.058,172.466,179.11,174.057
78,164.641,170.716,155.701,154.117,166.832,187.321,163.239,173.107,156.325,167.384,189.691,191.116,136.638,137.638,177.321,173.094,179.747,174.059
79,165.247,170.498,156.553,154.025,166.738,186.764,163.439,173.462,156.208,167.922,189.754,191.246,136.815,137.931,177.673,173.322,180.163,174.04
