"","Site","Ho","He","FIS","AllelicRichness"
"D.CC","D.CC",0.364295106649937,0.399321893147503,0.0513903754340278,1.39430835440873
"D.MF","D.MF",0.40288684928836,0.420701896364295,-0.0261048776781644,1.42267173588094
"S.CC","S.CC",0.305990918602218,0.332815879461423,-0.0449342105263158,1.31015205412569
"S.MF","S.MF",0.391622472670988,0.259173309331517,-0.476301581958936,1.27821786739268
