"","Site","Ho","He","FIS","AllelicRichness"
"D.CC","D.CC",0.35943363122753,0.367907364060073,-0.0207125851651883,1.36618387262455
"D.MF","D.MF",0.393303737738771,0.419809455864571,-0.0219488794023479,1.41525727069351
"S.CC","S.CC",0.306198780082067,0.332023537005164,-0.0432935275080906,1.31083350496681
"S.MF","S.MF",0.380444904293844,0.271244309559939,-0.440882172758832,1.30970857044318
